Alpha OG
=============
Pra420calikush,https://www.leafly.com/hybrid/alpha-og/reviews/1410826,"“This strain is one of the best I've ever tasted. Great High.”"
alphamedicinc,https://www.leafly.com/hybrid/alpha-og/reviews/1376107,"“The word Alpha has a meaning, and this strain was named accordingly. Another High Times award winner from alpha medic a multi cup winning collective.”"
verruckt,https://www.leafly.com/hybrid/alpha-og/reviews/1410825,"“Best sleep I've had in a long time thanks to this strain. It taste great and its just wuderbar :D”"
fetus47,https://www.leafly.com/hybrid/alpha-og/reviews/1382326,"“This bud is absolute dank. Sticky icky at its finest”"
puertoricantone,https://www.leafly.com/hybrid/alpha-og/reviews/1289964,"“Damn! Nuff said. Pretty buds, dense and full of tri's..definitely looks what a con issuer would want. will smack you hard. If this was a 12 " woofer, Windows would shatter from the hit. Highly recommend”"
organicoptions,https://www.leafly.com/hybrid/alpha-og/reviews/1376106,"“Nice, functional head high. Smooth flavor, spicy without being overpowering.”"
Joeldubs,https://www.leafly.com/hybrid/alpha-og/reviews/1418072,"“Lovely strain that's ideal if you want an evening high. I'd suggest for everybody!”"
alphacole116,https://www.leafly.com/hybrid/alpha-og/reviews/1260490,"“Alpha Og is an freaking amazing indica! soft flower and such amazing taste and smell! if your looking for an outstanding indica I would go with the Alpha Og all day! honestly best body high ever”"
kingschoice,https://www.leafly.com/hybrid/alpha-og/reviews/1260489,"“Had this in wax form, very very good balanced hybrid high and flavor”"
smpad,https://www.leafly.com/hybrid/alpha-og/reviews/1643803,"“An easy peasy bud with an imagination for relaxation. On this the hyperventilating hosts of YouTube make sense, as they slow down but remain consistent. The world glows with opportunity. I love my life.”"
xblackrobx,https://www.leafly.com/hybrid/alpha-og/reviews/1756193,"“think of OG Kush, but with an extra gear. nose is similar to GSC, good and doughy with a hint of pine and lemon. turned me into a space cadet with the meanest dry eyes ever, save this for when you ain't got shit to do for sure.”"
Kash0427,https://www.leafly.com/hybrid/alpha-og/reviews/1411773,"“ALPHA OG is AWESOME!!!
Nice smooth burn with light spicy flavour. 
Slow light buzz at first and then it hits quick with nice mellow high. 
Had a amazing sleep! 😴”"
