Blackberry Kush
=============
hasso,https://www.leafly.com/indica/blackberry-kush/reviews/1417550,"“If you're looking for a quick puff this is not the right strain. the reason being at first you think it will be quick little puff but then the tart and tangy flavors draw you in for a second take and before you know it...you're best friends with a squirrel.”"
grimangel68,https://www.leafly.com/indica/blackberry-kush/reviews/1415182,"“This stuff blew me away. In looks, smell and effects. Absolutely, the best stuff I smoked in 30+ yrs. Thank God for Medical Marijuana.
Excellent for insomnia and pain. Effects felt almost immediately. Nice, relaxing head-high. Got a little absent-minded for a bit.
I just love the looks of this. All crystally white and tight nuggets. A+ in my book.”"
StukaFox,https://www.leafly.com/indica/blackberry-kush/reviews/1415631,"“Ah, the local 7-11: never go here stoned, because you WILL end up in the candy aisle looking at all the sugary goodies, 'specially if you have a head fulla Blackberry Kush. 

I've already snarffed a roll of Rollos, a Heath bar (or a Skor bar if you wanna be snooty about junk food), and some beef jerky. This is some bud that's happy to let 

you get your eat on until you're doing your worst Mr. Creosote impersonation....”"
Tom2713,https://www.leafly.com/indica/blackberry-kush/reviews/1392434,"“Amazing, i was sitting in my car smoking it, and right away, it hits you in stages of effects, each one building on the last.  The first was instantaneous pain relief, then a sudden surge of uplifting spirits, followed by this sense of total relaxation.  In this relaxation, you begin to feel as though you are semi weightless, and then you become completely calm.  And in this calm you become more aware, allowing you l...”"
TB-303,https://www.leafly.com/indica/blackberry-kush/reviews/1412870,"“This has been my favorite smoke for bed time. It taste likes berries and put's you into a state a deep relaxation. Perfect for my insomnia since I will sometimes wake up around 2 am. I always leave a little in my vaporizer to put me back to sleep real quick. I would highly recommend this strain to people that have anxiety and insomnia”"
rimrockersteez,https://www.leafly.com/indica/blackberry-kush/reviews/1381807,"“Helps with headaches.

Tastes like a mouthful of berry with every toke.

Be prepared to lie down as stress and pain seem to diminish... smoke is quite heavy and hits smooth with aftertastes of afghan and berry. Delicious.

Finding a nice calming effect for 5-6  hours in this medication.”"
KyleJEE,https://www.leafly.com/indica/blackberry-kush/reviews/1416582,"“I 58, have Parkinson's disease, and as such have severe pain and tremors at almost all hours of the day.  Insomnia and pain management are what symptoms medical  My go to strain is usually Tahoe OG, but my co-op stopped carrying it, so I got a eighth of Blackberry Kush on the recommendation of the owner.

Didn't really hit me right away, the buzz lasted about 20 minutes.  The body feeling crept up though, and within ...”"
BannedG33K,https://www.leafly.com/indica/blackberry-kush/reviews/1385138,"“Great medical strain, but will still get you stoned relatively quickly. This flavor immediately brought on a calm, and even provided a celestial 'trip' without the anxiety or paranoia. 

Imagine sitting in a beautiful yard overlooking a swamp, while roasting by a fire pit listening to Grateful Dead, hitting a bowl of this.

It's potent, relaxing, and at the same time thought provoking for the creative mind. One of my...”"
CaptainKronikk,https://www.leafly.com/indica/blackberry-kush/reviews/1377383,"“I just want to fill a swimming pool full of BlackBerry Kush and dive right into it! I am not exaggerating this has the be the best indica I have ever smoked. After two pipe bowls I immediately felt all my muscles and joints completely relax after a long 10 hour shift. Nothing compares to the smooth, ever so relaxing high this bud has to offer. Wonderful strain for those who suffer from muscle/joint pain, insomnia, an...”"
Braemama,https://www.leafly.com/indica/blackberry-kush/reviews/1392607,"“This is one of our favorite strains for evening after the kids go to bed. Husband and I enjoy it by a campfire and talk and laugh together. The effect of Blackberry Kush in the bedroom is super intense, making our time exquisite together will no inhibitions at all. Burn this with a loved one and enjoy!”"
tranquility,https://www.leafly.com/indica/blackberry-kush/reviews/1389094,"“Now this kind of bud here is why I started in the 1st place. Pain relief and a complete elimination of anxiety. It does a lot more than that but relieving the pain and anxiety so I can exercise & stick with my Drs plan has been a game changer for me. This one and ghost train haze at least for me demolishes the pain. And both put a Cheshire grin on my face. Happy, happy strains. My BP was the best it's been in 4 years...”"
Bigrig,https://www.leafly.com/indica/blackberry-kush/reviews/1366227,"“I have major back pain and this strain is one that has consistently relieved my back pain and helped me sleep all nite”"
KindGodess420,https://www.leafly.com/indica/blackberry-kush/reviews/1417883,"“Loving this for Midnight tokin' and  Daytime smokin'!! A kind brain massage of kusshhhiness soo sweet and smooth has me purring in da couch! I received swift back/hip pain relief from a healthy "j" which lasted for several hours. Not my fav but then I'm a picky Longtime Ladyhead...Namaste!”"
travitoninja99,https://www.leafly.com/indica/blackberry-kush/reviews/1377384,"“I would have to say this probably one of the best Indica strains I have ever tried. It has a wonderful balance of a happy and uplifting mentality along with a very relaxing and pain-melting body stone.  Crisp, dense buds with semi-dark green and dark purple coloring, along with a forest of beautiful trichomes. This strain literally smells like fresh blackberry jam, while the taste is like a mild kush with a hint of b...”"
Somnus,https://www.leafly.com/indica/blackberry-kush/reviews/1385380,"“The kind of medication I am looking for is something that can balance treating my insomnia, anxiety, and pain all at the same time. How it looks and how it smokes comes secondary, but in this case, Blackberry Kush is the best of both worlds. Not only does it offer that perfect balance that I am looking for medically, but it looks, smells, and tastes better than any Cannabis I have ever experienced in twenty years. 

...”"
Donnie1967,https://www.leafly.com/indica/blackberry-kush/reviews/1377385,"“Blackberry Kush is what cannabis is supposed to be! I'm usually a Sativa afficianado, but I looked for a good strain (available in my area) that was good for pain - I'm having back pain and some spasms this week. Blackberry Kush was a delightful high. Slight leg tinglies, great sense of feeling okay, and sorta masked my back pain. YMMV. I will probably always have some of BK around. Not highly recommended for day tim...”"
dam63,https://www.leafly.com/indica/blackberry-kush/reviews/1370250,"“On my 7 day with BBk....what a difference this one makes on my chronic leg pain and insomnia.  
I si
I suffer with depression & anxiety and being pill free this one works. I can get through the entire day with no issues. 
The taste is amazing. Nice sweet taste & very smooth.”"
leahwaz73,https://www.leafly.com/indica/blackberry-kush/reviews/1378741,"“Blackberry Kush is one of my goto nighttime strains. It goes down sort of earthy and slightly harsh, with a sweet berry aftertaste. It provides a nice clear focus to organize a few priorities and get some fairly easy but important stuff done. It gently eases you into deeper physical and mental relaxation for the night. It's not a real stony body high like a lot of indicas, just sort of a mellow "all is ok with the wo...”"
Nicane,https://www.leafly.com/indica/blackberry-kush/reviews/1365588,"“An incredible indica dominant strain. Great for making you feel just wonderful and relaxed. Great for pain relief and sleep. Has a lovely taste, typical dank marijuana taste with a slight hint of sweet berry. Great strain to just settle down with.”"
ThaJerm1995,https://www.leafly.com/indica/blackberry-kush/reviews/1370251,"“very relaxing and great for muscle pain”"
TwitchyBlaze,https://www.leafly.com/indica/blackberry-kush/reviews/1365905,"“Blackberry Kush really helps my Tourette Sundrome. I rate it (5 Stars) ⭐️⭐️⭐️⭐️⭐️”"
StonedHousewife,https://www.leafly.com/indica/blackberry-kush/reviews/1392985,"“I tried Blackberry Kush, hoping it would help me with insomnia and some body stress from seizures. It was great for the insomnia. The smoke is a little harsh, even in a vaporizer, but not intolerable. The taste is Earthy and a little spicy (not at all fruity.) The effect began with just making me relaxed, not too lazy though, and then moved into a kind of dreamy relaxation slipping in and out of mildly euphoric day d...”"
dannnypee,https://www.leafly.com/indica/blackberry-kush/reviews/1399405,"“Absolutely beautiful looking bud throughout ! So many crystals it almost looks purple & white. Def a strain for pain relief put me in the ground for a good minute after smoking a good amount. Slight berry/ gas flavor.”"
redraspus,https://www.leafly.com/indica/blackberry-kush/reviews/1360954,"“Not as much of a snoozer as I was expecting -- very nice, happy high.”"
dkimfw,https://www.leafly.com/indica/blackberry-kush/reviews/1399404,"“Wonderfully tight dense nugs. Highlights of purple braided throughout the nug, with some, more intense in color. Had a "good" amount of frosting from trichomes. After grinding had a rush of berry fruitiness with a heavy following of that Kush smell. Last thing I smell is the slightest bit of gasoline to trace the prior scents. 

Within two inhalations you feel a great rush of numbness flow over the back to the fron...”"
VitalGreens,https://www.leafly.com/indica/blackberry-kush/reviews/1384735,"“Perfect strain for sitting down and relaxing. This is a deep thinker, for sure. My thoughts were so intense and my daydreams felt like I was actually there. I love it. Will definitely be purchasing this strain again. Not at all disappointed with the Blackberry Kush! It's a must for all the stoners out there! Keep smokin'.”"
Shmalberzhe-Moscow,https://www.leafly.com/indica/blackberry-kush/reviews/1377387,"“Автоцвет”"
ajuk2k,https://www.leafly.com/indica/blackberry-kush/reviews/1361467,"“Ansolutely love this strain! Very strong berry taste with awesome earthy taste as well! Literally melted into a couch and watched simpsons ! Great indica for experienced Blazers but may knock out newer smokers! Boat times were couch locked and loaded!”"
