Blue Alien
=============
smoked9590,https://www.leafly.com/indica/blue-alien/reviews/1416073,"“If you live in Vegas, go to Thrive and get a pre roll of Blue Alien. I promise, you won't be disappointed. I smoke several times a week and this strain has me on my ass. It has a very strong cerebral high and definitely worth the $11 cost”"
petethekoala,https://www.leafly.com/indica/blue-alien/reviews/1413387,"“Blue Alien is a very potent strain. It strike you very early after vaping it. The euphoria is quite strong but generally it falls in a more dreamy or cinematic state if you're near bed time. It can be good for a cinema evening or as a sleeping aid. It kills pain and calm stress in a blunt efficient way. The smoke can be quite strong even with a vaporizer. The taste is quite subtle and not very impressive even if you ...”"
Gyrkin,https://www.leafly.com/indica/blue-alien/reviews/1355718,"“Good fun, sensual body high, relaxing.  One of my all-time favorites”"
signisignis,https://www.leafly.com/indica/blue-alien/reviews/1393003,"“Just got ahold of some Blue Alien shatter that was wonderful. After a dab I was feeling good and my pain was really relaxing away. After two of I was ready to hit the hay for a good night's rest. Works well and the slight berry taste makes for a great smoke”"
Nikond300,https://www.leafly.com/indica/blue-alien/reviews/1346744,"“Instant relaxation and calmness!  Love this strain right before bed to deal with my MS.”"
fortheloveofbudz,https://www.leafly.com/indica/blue-alien/reviews/1255906,"“Great for night time use. Gave me a nice body high and then after smoking another bowl it was a nice relaxing head high. 5 stars on pain relief and insomnia.”"
ccowan,https://www.leafly.com/indica/blue-alien/reviews/1199748,"“Sweet smelling, berry aroma.  A calming body stone from Blueberry, with Alien adding that mellow cerebral high
Awesome combo.”"
Reductioabsurdum,https://www.leafly.com/indica/blue-alien/reviews/1381886,"“If you're looking to relax or used before bed, this strain gets you going in that direction. The high THC count carries with it some force that can't be ignored. Calm and peaceful body high. It's probably got some couch lock, however it blends with it such a mellow cerebral high, that a relaxing walk isn't unthinkable. Brings some water though. Cognition will rely more heavily on intuition, so let the muscle memory d...”"
bucko999,https://www.leafly.com/indica/blue-alien/reviews/1490412,"“this is one of the best strains I smoked it taste very good and it is very potent”"
kwilhelm,https://www.leafly.com/indica/blue-alien/reviews/1266942,"“I haven't smoked bud in 25 years, and my New Years resolution was to smoke weed again this year. I went to Euphorium and purchased the Ceres brand. 24.9% THC/0.17% CBD. I took 2 tokes not knowing how I was going to react to the high. It was a clean high, it made me happy and focused and enjoying the high. Even tho I didn't get massively baked, which I purposely avoided, It was wonderful.”"
RichterRocket,https://www.leafly.com/indica/blue-alien/reviews/1605471,"“I really like alien OG so I was very excited to try blue alien and it did not disappoint. Dark and rich blueberry flavor with a fantastic sweet aftertaste. Full relaxation with a little bit of sleepiness. If you’re looking for an Indica this is about as good as they get. I’m looking forward to meeting the blue alien again sometime soon.”"
sotokaylene,https://www.leafly.com/indica/blue-alien/reviews/1458606,"“this is my new favorite! i smoked in the afternoon & it made me really happy & concentrated . a little sleepy but a good feeling to take a walk with a joint that has this particular strain listening to joyce manor”"
strikeoutlookin,https://www.leafly.com/indica/blue-alien/reviews/1364358,"“Pungent smell and great taste. It seems no matter what Blueberry is mixed with you can always pick out the lineage. Really good body high, like putting on a weight jacket that makes you happy. Pretty solid bed time smoke.”"
monique1,https://www.leafly.com/indica/blue-alien/reviews/1282584,"“it's tastes real sweet inhaling &exhaling. It got me really high, relaxed, and in no pain”"
anonymous,https://www.leafly.com/indica/blue-alien/reviews/1262197,"“Love the light blueberry smell, the relaxed body high and the deep sleep.”"
inditiva0,https://www.leafly.com/indica/blue-alien/reviews/1328903,"“Berry, fruity taste. Body effects are relaxing with munchies. Cerebral effects are creative and euphoric.”"
jahoo7,https://www.leafly.com/indica/blue-alien/reviews/1411077,"“Very relaxing Indica.   Wife liked it a lot.  I  would give it 4.5 stars due to its light berry flavor via vaping.”"
strikeoutlookin,https://www.leafly.com/indica/blue-alien/reviews/1364358,"“Pungent smell and great taste. It seems no matter what Blueberry is mixed with you can always pick out the lineage. Really good body high, like putting on a weight jacket that makes you happy. Pretty solid bed time smoke.”"
RudigerJones,https://www.leafly.com/indica/blue-alien/reviews/1801583,"“Heavy perfect for a relaxing night”"
Wolf_Of_Vegas,https://www.leafly.com/indica/blue-alien/reviews/1617471,"“Blue Alien is a super heavy indica that definitely creeps up on you and hits you with a nice relaxing rush of euphoria which leads into a pure state of bliss.. A great evening strain and killer for insomnia patients.. The blueberry and grape flavors are  distinct on this one and it hits very smooth.. I will warn all beginners and even novice smokers that this one will get you if you consume to much...”"
Dareason23,https://www.leafly.com/indica/blue-alien/reviews/1667769,"“Great strain of weed I’d definitely tell everybody to try it it’s very smooth too 🔥”"
CVSPXR,https://www.leafly.com/indica/blue-alien/reviews/1528137,"“This strain had me glued to the couch and I was incredibly stoned. I felt a bit anxious right after smoking, but eventually became very relaxed.”"
smiz87,https://www.leafly.com/indica/blue-alien/reviews/1550508,"“Shitcsnned.    This is straight 🔥 - pax set up with the oil.  Took a look drag and it was nap time 210.   Peace to all in Vegas.   Thanks you.    Straight dank.”"
BerryPurpleTangerine,https://www.leafly.com/indica/blue-alien/reviews/1776908,"“A++..Really great strain for unwinding after a long day. Taste amazing,"like blueberry muffins imo" All around a really really good indica hybrid👌👍 I'd recommend anyone try this strain, especially if you want to relax and sink into the couch with a good movie haha. Can't go wrong with Blue Alien.”"
BLACKHEART13,https://www.leafly.com/indica/blue-alien/reviews/1779850,"“this is a great strain for insomnia. It has a very happy relaxed feeling, lots of giggles. Nice body high and helped me sleep really good.”"
Ankush22,https://www.leafly.com/indica/blue-alien/reviews/1669744,"“This strain looks and smells amazing! Dark purple buds loaded with tricombs that grinds very easily. Gave me a calming sensation preparing me for the bed.”"
lovuly1,https://www.leafly.com/indica/blue-alien/reviews/1686700,"“My husband loved this strain.  Relaxing, gave him an appetite. He slept well and no anxiety. His fav.”"
louddelivery,https://www.leafly.com/indica/blue-alien/reviews/1177380,"“soo good”"
charmedjoy,https://www.leafly.com/indica/blue-alien/reviews/1227201,"“It feels good all over warmness. I was interested in the strain because of me knee pain. It feels OK.. I'm liking this”"
CannabisCritic,https://www.leafly.com/indica/blue-alien/reviews/1274442,"“Blue Alien is an incredibly potent indica with powerful medicinal effects. When consumed, even in small doses, it provides an enjoyable calming sensation coupled with an intense feeling of relaxation guaranteed to induce sleep. It's Blueberry genetics are clearly present in the taste, and hits the pallet with an amazingly sweet blueberry flavour followed  by earthy, berry undertones. A pleasant smelling strain with a...”"
sonofearth,https://www.leafly.com/indica/blue-alien/reviews/1393004,"“Smelly and delicious! Very good to take a walk.”"
fortheloveofbudz,https://www.leafly.com/indica/blue-alien/reviews/1226626,"“this is my go to strain for night time. blueberry taste and just a great body high.”"
chris00057,https://www.leafly.com/indica/blue-alien/reviews/1211860,"“smell is unpleasing, high is fair wouldn't buy again”"
ykchung90,https://www.leafly.com/indica/blue-alien/reviews/1248035,"“the guy at the dispensary told me that this IS NOT a nighttime smoke, but on here I'm reading it is. I'm confused... who's right, who's wrong?”"
drewfb55,https://www.leafly.com/indica/blue-alien/reviews/1253642,"“Blue Alien hits me right behind the eyes. I have a heavy feeling of euphoric heaviness, almost if, grounded in a sense. Cognitively I am focused and intuitive. Really cool and trippy strain, I get great paranoia with this herb similar to GDP. 5/5 from me amazing top shelf dank.”"
jbreed,https://www.leafly.com/indica/blue-alien/reviews/1395665,"“Slightly heady and cerebral. Strewn hay with floral undertones at first thought. Then a liberating open feeling of peace. You can reach out and stretch your aura because this is some Pineal Gland opening stuff!!”"
BrentM,https://www.leafly.com/indica/blue-alien/reviews/1186248,"“Smells like berries and i have never been more relaxed by a strain before. I have one bred with trainwreck, lets see how that one is ;)”"
Lordwashingv,https://www.leafly.com/indica/blue-alien/reviews/1248312,"“Good strain not too heavy behind the eyes. Aroma has to be best smelling thus far maybe not a first go to however it's great green”"
bigquayle,https://www.leafly.com/indica/blue-alien/reviews/1274831,"“Awwww, man! This shit's tight. It's a heavy hitter with a heart of gold. I may be in love. It's busting up my lower back pain like it owes him money.”"
smoke101daily,https://www.leafly.com/indica/blue-alien/reviews/1396248,"“This strain is legit! I bought it from Thrive out here in Las Vegas . Forst off it has this Delicious fruity grape blueberry taste, Not to harsh.  After the first few minutes I was left feeling perfect with no complaints . 5 star strain forsure!”"
forrestgrower,https://www.leafly.com/indica/blue-alien/reviews/1391551,"“This strain makes my body aches seem to slowly fade into the background. My mind is at ease and I feel relaxed and calm. This is great for the end of day / before bedtime wind down aid.”"
VapeApe037,https://www.leafly.com/indica/blue-alien/reviews/1382507,"“Malaise”"
