Blue Widow
=============
JDinPHX,https://www.leafly.com/hybrid/blue-widow/reviews/1414024,"“I have debilitating neuropathic pain in my hands and feet from an emergency medical drug called Levophed.  I am facing digital amputations as probable for my future.  

My experience with Blue Widow is that it is THE MOST EFFECTIVE PAIN KILLER for neuropathy ("false nerve pain") of any cannabis strain.  And it does not make me clumsy as do most Indicas.  This is my new favorite, hands down.”"
Anonymous,https://www.leafly.com/hybrid/blue-widow/reviews/1397733,"“I have a creative job with chronic pain. I was happily able to run my company, move my neck and shoulder and last through meetings.  I didn't experience dry mouth at all compared to other high end strains. Compact buds, very slow burning.  Had to re-light a couple times, but I liked that because I'm a slow smoker. Overall, best strain I've tried. Fruity, but still grounded and earthy. Perfect mix of energetic functio...”"
Wolfmang239,https://www.leafly.com/hybrid/blue-widow/reviews/1414025,"“A lot of people get it wrong with this strain. I've been growing dinafem for 2 years now, when u find the better pheno types and genetics this is my favorite strain. Close to 2 pounds per light. Very very dense super frosted buds any where from a gram to 10 grams per bud Dry. Amazing bag appeal and smell, purple and blues tips and hues. All my fan leaves turn dark purple with black and yellow. This strain is one of t...”"
xxShark,https://www.leafly.com/hybrid/blue-widow/reviews/1414997,"“It's a smooth strain. It's good with a vaporizer or a water pipe.  The positive effects last about 4 hours on a teaspoon size hit. I assume this will depend on how often you use it though.  It will make you very hungry though, so keep a bottle of water or hard candy around to help with the food cravings.  I suffer from chronic migraines and have to use a medicine injector to get rid of them.  Once I started smoking t...”"
Hellasailed18,https://www.leafly.com/hybrid/blue-widow/reviews/1359377,"“Blueberry Widow is a cross between Blueberry x White Widow. The bud has a dense green glossy look, covered in THC. A hint of dark blue inside and outside the bud. The smell is filled with sweet blueberry, and fills the whole room in seconds with its aroma. Helps for insomnia, and stress. Recommend bringing a friend if you want to experience a pain free lifestyle!”"
Oakwright,https://www.leafly.com/hybrid/blue-widow/reviews/1351994,"“This stuff helps me get shit done without freezing up with anxiety!

Blue Widow is by far my favorite strain I have ever tried. It can kick stress and anxiety quicker than anything, and with a very small amount. It doesn't get me baked to the point I don't care, it instead mellows me. This is very useful because I'm still fully functional. That allows me to beat anxiety and stress even better because then I can tackl...”"
MisoContra,https://www.leafly.com/hybrid/blue-widow/reviews/1395563,"“The only reason I didn't give this fantastic strain a 10 is because of it's harshness, but the high happens very smoothly.1 good hit from a glass pipe and I was at [5]. Another hit and I was very high and done smoking. in other words one good bowl is enough for you and your buddy to get very high and have a good time doing what ever you want because this high is very controllable. one of the best if not the best stra...”"
vangink,https://www.leafly.com/hybrid/blue-widow/reviews/1237899,"“Buds have a thick brown hair. Not particularly amazing bag appeal: very fluffy, trichomes aren't visibly thick. However the smell is amazing. The dispensary I obtained this from boasted the genetics of Blueberry X White Widow, and it's certainly in the smell. A sweet earthy tang can be smelled when opening the jar. When busted up there an explosion of sweetness that carries all the way through to the 3rd vape draw. I...”"
Anonymous,https://www.leafly.com/hybrid/blue-widow/reviews/1174403,"“On occasion I experience anxiety that is so overwhelming it won't ease off. I don't like pills and Xanax is a definite no as far as an answer to my attacks.  So I just deal with it.  Until I tried Blue Widow, a friend of mine offered me some when I was having a bad anxiety attack and it was amazing.  The pressure in my chest eased off, my mind was relaxed but not tired.  The feeling is truly hard to explain, but it i...”"
reibainokami,https://www.leafly.com/hybrid/blue-widow/reviews/1330712,"“Super-long hairs on the bud I got. Had a soft, almost fuzzy appearance. My grinder reeked after I ground this up in it. Had a dirty, sour taste while hitting, and reminded me of food afterwards. Reluctant to catch a flame and burn - wanted to curl out of the bowl when I was smoking it. Very heavy upper-body high, but still able to focus on tasks. Helped reduce my anxiety, but came with some couch-lock. I found myself...”"
iGOTSHOTINMYHEAD,https://www.leafly.com/hybrid/blue-widow/reviews/1351992,"“Takes away a lot of joint pain and works great to help sleep at night.”"
DavesNotHere420,https://www.leafly.com/hybrid/blue-widow/reviews/1319635,"“BLUE WIDOW- INDICA DOMINANT (Blueberry/White Widow)
                               To start: Buds smell of an amazing berry aroma, was impressed.
                               Very smooth, flavors filled my mouth and nose and were quite enjoyable.
                               Did not kick in incredibly hard, it was more of a gradual uplifting mind and body buzz.
                               Mind is clear and sha...”"
yuma42050,https://www.leafly.com/hybrid/blue-widow/reviews/1103522,"“Blue Widow is one of the best strains I have used to date. Vaping a bowl of this fabulous strain I experinced a wonderful taste through out the first 4 hits. Very tasty and the high really hits you in the head and then late settles down though out the body and reduces pain level to zero ! Never thought the quaility of medicine grown in the desert south west could match that of the North West.”"
DamyaNH,https://www.leafly.com/hybrid/blue-widow/reviews/1395564,"“It smokes wonderful, very smooth in the throat, and the flavour is pretty sweet, but not too sweet. The high is also very nice. It's like everything around you is super bright and colorful. I would highly recommend this.”"
Deitab,https://www.leafly.com/hybrid/blue-widow/reviews/1332659,"“Really like this Blue Widow.  I actually asked for Blue Mystic at my dispensary, but got this by mistake.  So, I thought, what the heck, I'll give it a try since I've never had it.  NICE!  This strain is very smooth on the intake, with thick white clouds of smoke.  The smell is highly indicative of the potency... both were very strong!!  My hubbie and I are joking around with each other in a light hearted manner and ...”"
staymedicated2,https://www.leafly.com/hybrid/blue-widow/reviews/1670339,"“This strain was the first I had in quite a while. I hadn't smoked in over 8 years, so I wanted something a bit in the middle ground. Good, euphoric sativa feels with a relaxing body high, everything I love about being high all in one go. Got into some fun chats as well as relaxed on the couch and felt my whole body just relax!

Definitely recommended for people who don't like the anxious-feeling they get from other s...”"
staymedicated2,https://www.leafly.com/hybrid/blue-widow/reviews/1670339,"“This strain was the first I had in quite a while. I hadn't smoked in over 8 years, so I wanted something a bit in the middle ground. Good, euphoric sativa feels with a relaxing body high, everything I love about being high all in one go. Got into some fun chats as well as relaxed on the couch and felt my whole body just relax!

Definitely recommended for people who don't like the anxious-feeling they get from other s...”"
FarmrJ,https://www.leafly.com/hybrid/blue-widow/reviews/1351934,"“Blue Widow is one of the best tasting buds I've ever smoked. It has the sweet/sour taste of the blueberry with the soaring high of the White Widow. It grew like an indica with fat but long pedal leaves and had excellent bud to leaf ratio. I was amazed at how short the flowering period was and that was good because the odor could be detected from a long ways away. It did very well here in the deep southeast where high...”"
carlsagan,https://www.leafly.com/hybrid/blue-widow/reviews/1103526,"“Tranquility in a flower, This strain is great if you vape it. The strong blueberry sweet flavors really come out, there is some spicey undertones to it, that is due to the white widow in the cross. 

You feel a strong kush like high (euphoria / uplift / body numb / energetic). a little goes a long way. 

If you plan to vape all day using this strain will guarantee you will sleep like a baby if you consume more.
...”"
SirRebral,https://www.leafly.com/hybrid/blue-widow/reviews/1386549,"“A favorite.  must have all around staple bud to have in the safe :)
good for everything that ails...rookies be warned, you can go deep and be left shivering under a blankey.  
particularly useful for neuropathy and body pain.
sex on BW is a must.
go do something outside in the sun !”"
yippee-ki-yay,https://www.leafly.com/hybrid/blue-widow/reviews/1103523,"“this had a very nice high went through layers of emotions in a good way if that makes sence one of my top 5s”"
hunter9231,https://www.leafly.com/hybrid/blue-widow/reviews/1388269,"“•This 5-star blueberry delight/hybrid is a🌲y sweet  SPECTACULAR lovechild of the 2 ✊power-strain parents — & has only the very best qualities from Blueberry|White Widow.. I highly recommend this beauty to newbies + pros, alike, for it's beautifully-balanced/calming & great for social occasions/an-xiety...it's a chatty one! ;) Aroma is a true blueberry dream & I can not stop burying my nose in it.. Beloved for the lo...”"
Tofumao,https://www.leafly.com/hybrid/blue-widow/reviews/1169311,"“Una buena índica, ideal para relajarse, para tomarse el momento de soledad escuchando música desarrollando creatividad, una plenitud mental bien notable. Da bastante hambre, y se nota con fuerzas al rato de acabar al canuto. Totalmente recomendada!”"
MyUsername1,https://www.leafly.com/hybrid/blue-widow/reviews/1167420,"“Chemical-like and slightly piney/citrus smell, with dense buds. 

A cerebral high with major muscle relaxation qualities.

Great for a night time, winding down.

Decent, "creamy" aftertaste.

*i have got to add... arousal isn't initially apparent, but popping a boner is all too easy on BW

** Also, a small/medium sized joint will get your eyes baggy”"
MyUsername1,https://www.leafly.com/hybrid/blue-widow/reviews/1167420,"“Chemical-like and slightly piney/citrus smell, with dense buds. 

A cerebral high with major muscle relaxation qualities.

Great for a night time, winding down.

Decent, "creamy" aftertaste.

*i have got to add... arousal isn't initially apparent, but popping a boner is all too easy on BW

** Also, a small/medium sized joint will get your eyes baggy”"
Gnob,https://www.leafly.com/hybrid/blue-widow/reviews/1329366,"“I smoked these buds with 4 friends. DIdn't hit at the 3 first puffs, but in round 2 when I gave the 4th puff, it hit me really hard! 
Really good buds and smooth taste.
When I was coming home it looked like the light bulbs on the street were running with my car! Recommend this.”"
sweetbutter80,https://www.leafly.com/hybrid/blue-widow/reviews/1388126,"“Migraine pain 5-6; nausea 6-7 when I medicated round 1800 or so. Takes bout 5-10 min to start working. Pain/nausea gone. No anxiety/paranoia (a must for me). Body high allowed me to eat dinner. Head high made me very social; enjoyed dinner quite a bit with my fam. Tastes like pepper & diesel to me. Crashing hard 2 hours later. Recommend for daytime use for pain/nausea! :-) Really enjoyed this one; gonna hafta try dis...”"
hepcat57,https://www.leafly.com/hybrid/blue-widow/reviews/1103471,"“Burns nice and tasty.  Quality bud without the appetite.  A keeper for tough nights and days.  I can create with a focused mind.  Another great bud recommended by the budtenders at Have a Heart cc in Seattle.  Hepcat57”"
weikko,https://www.leafly.com/hybrid/blue-widow/reviews/1375907,"“it's powerful on pain”"
CannabisNovice,https://www.leafly.com/hybrid/blue-widow/reviews/1689430,"“This just might be my favorite strain (for now)! Smooth berry taste,  not too smelly and the hybrid high is something else! Loved how after only 4 good hits, I was relaxed but could feel both the Indica and Sativa effects.  The high developed over the next hour or so with quite distinct periods of focus, 
giddyness, peace, relaxation and lastly a great night of sleep.  This is a winner!”"
DankManJohn,https://www.leafly.com/hybrid/blue-widow/reviews/1508717,"“Wow! 
This is one of the best highs I've ever had from weed. I underestimated the potency and it kicked my ass! I've never been this high from smoking weed before. A  little goes a long way with Blue widow.

The high is VERY clear headed and psychedelic like!! I felt literally "high". I could think logically well and also be very creative. 
I felt uplifted and euphoric. Music sounded orgasmic, I got extreme munchies ...”"
highforthisxo,https://www.leafly.com/hybrid/blue-widow/reviews/1601353,"“Recently tried Blue Widow for the first time, and it immediately became my favorite. 

It has unbelievable analgesic properties. It treated my fibromyalgia/chronic pain symptoms better than any other strain I’ve ever had. 

It made my anxiety and depression melt away, replaced by joy, euphoria, and lots of laughter.

It simply makes me feel amazing.”"
DankManJohn,https://www.leafly.com/hybrid/blue-widow/reviews/1508717,"“Wow! 
This is one of the best highs I've ever had from weed. I underestimated the potency and it kicked my ass! I've never been this high from smoking weed before. A  little goes a long way with Blue widow.

The high is VERY clear headed and psychedelic like!! I felt literally "high". I could think logically well and also be very creative. 
I felt uplifted and euphoric. Music sounded orgasmic, I got extreme munchies ...”"
nrandal,https://www.leafly.com/hybrid/blue-widow/reviews/1388127,"“Absolutely the best strain for killing headaches. There's no doubt in my mind that if somebody was to have a seizure, they could tell you that the headache afterwards is like nothing they've ever had before. I know I do.

So when I had my first seizure in several years, due to being awake for over 36 hours, my dispensary recommended this strain, and thank God they did. Not only did it get rid of my headache, but it a...”"
Yourstonerbro,https://www.leafly.com/hybrid/blue-widow/reviews/1263491,"“one of the best great flavor highly recommend”"
chelzzer,https://www.leafly.com/hybrid/blue-widow/reviews/1103557,"“Overall, I really like Blue Widow. Once it kicked in I was really social/happy/giggly, but not overboard, it was a manageable level. Helped me relax and get ready for bed after a long day of being sick with the flu. However I find that the high wore off a bit quicker than some of my other recent strains have been, even though the same amount was smoked..”"
hunter9231,https://www.leafly.com/hybrid/blue-widow/reviews/1334302,"“Quite helpful on my anxiety, PTSD, pain from spinal fusion.. altho does make me cough, not good for asthma (but fine if you use inhaler first!)”"
hunter9231,https://www.leafly.com/hybrid/blue-widow/reviews/1353968,"“Bright orange-hairy, beautiful buds.. great in vape, but prefer rolled with this one -- so tasty, smooth, very-easy to smoke.. intense from the ontake, like to smoke this one with friends...makes: everyone giggly, time fly, fun happen! Highly recommend!”"
Ceidan,https://www.leafly.com/hybrid/blue-widow/reviews/1351991,"“Tastes of blueberries and kief with a piney bite on exhale, immediately heady high almost too potent for daily medication, but for creativity and pain management blue widow is the right widow to bite you”"
NeighSayer,https://www.leafly.com/hybrid/blue-widow/reviews/1242604,"“this is my new favourite after work chill out strain. 
relaxing, but not tiring. I can smoke this and watch TV and relax whilst ignoring the dishes in the sink while still not falling asleep. 
wonderfully creative and thoughtful stuff. 
great for smokibg with a partner or good friend, maybe not a party dube.”"
-RiPpEdCiTy-,https://www.leafly.com/hybrid/blue-widow/reviews/1386600,"“Really impressed with this strain,was expecting to just fall asleep but this stuff smokes like a sativa,perfect for daytime use. Very sweet and flowery flavor with hint of pine. Instant pain relief and very relaxing with no anxiety,really good stuff”"
hunter9231,https://www.leafly.com/hybrid/blue-widow/reviews/1353968,"“Bright orange-hairy, beautiful buds.. great in vape, but prefer rolled with this one -- so tasty, smooth, very-easy to smoke.. intense from the ontake, like to smoke this one with friends...makes: everyone giggly, time fly, fun happen! Highly recommend!”"
chelzzer,https://www.leafly.com/hybrid/blue-widow/reviews/1103557,"“Overall, I really like Blue Widow. Once it kicked in I was really social/happy/giggly, but not overboard, it was a manageable level. Helped me relax and get ready for bed after a long day of being sick with the flu. However I find that the high wore off a bit quicker than some of my other recent strains have been, even though the same amount was smoked..”"
CannabisNovice,https://www.leafly.com/hybrid/blue-widow/reviews/1689430,"“This just might be my favorite strain (for now)! Smooth berry taste,  not too smelly and the hybrid high is something else! Loved how after only 4 good hits, I was relaxed but could feel both the Indica and Sativa effects.  The high developed over the next hour or so with quite distinct periods of focus, 
giddyness, peace, relaxation and lastly a great night of sleep.  This is a winner!”"
Dyrealmr03,https://www.leafly.com/hybrid/blue-widow/reviews/1386548,"“Nice heady euphoric and relaxing high that also helps with pain and depression. Smells like blueberries and tastes like citrus. 5/5 stars”"
WedgeAntilles420,https://www.leafly.com/hybrid/blue-widow/reviews/1386599,"“Thought I rated this Strain. But this Strain is amazing to me personally. I need meds that has no seeds, good taste, and high THCA and decent CBD content. But need the great tasting Strains for my nausea. Sweet berry scent, covered in Trichromes. 
17.93% THCA
.033% CBD
.0% CBN
1.2% CBGA”"
r4gg3dym4n,https://www.leafly.com/hybrid/blue-widow/reviews/1103488,"“Fairly harsh in the lungs for just a weekend smoker. Nice mellow, intellectual high with a mediocre body buzz. Being creative, I find that I have a more of a logical, analytic look at things while on it.”"
Chimaera,https://www.leafly.com/hybrid/blue-widow/reviews/1247000,"“Lovely variety, this smells deliciously like the old blueberry Hubba Bubba bubblegum. Excellent high, numbs the annoyances of the day and really makes me feel _good_, halcyon.”"
hunter9231,https://www.leafly.com/hybrid/blue-widow/reviews/1334302,"“Quite helpful on my anxiety, PTSD, pain from spinal fusion.. altho does make me cough, not good for asthma (but fine if you use inhaler first!)”"
Chimaera,https://www.leafly.com/hybrid/blue-widow/reviews/1247000,"“Lovely variety, this smells deliciously like the old blueberry Hubba Bubba bubblegum. Excellent high, numbs the annoyances of the day and really makes me feel _good_, halcyon.”"
hunter9231,https://www.leafly.com/hybrid/blue-widow/reviews/1353968,"“Bright orange-hairy, beautiful buds.. great in vape, but prefer rolled with this one -- so tasty, smooth, very-easy to smoke.. intense from the ontake, like to smoke this one with friends...makes: everyone giggly, time fly, fun happen! Highly recommend!”"
highforthisxo,https://www.leafly.com/hybrid/blue-widow/reviews/1601353,"“Recently tried Blue Widow for the first time, and it immediately became my favorite. 

It has unbelievable analgesic properties. It treated my fibromyalgia/chronic pain symptoms better than any other strain I’ve ever had. 

It made my anxiety and depression melt away, replaced by joy, euphoria, and lots of laughter.

It simply makes me feel amazing.”"
-RiPpEdCiTy-,https://www.leafly.com/hybrid/blue-widow/reviews/1386600,"“Really impressed with this strain,was expecting to just fall asleep but this stuff smokes like a sativa,perfect for daytime use. Very sweet and flowery flavor with hint of pine. Instant pain relief and very relaxing with no anxiety,really good stuff”"
johnnyappleseed,https://www.leafly.com/hybrid/blue-widow/reviews/1339951,"“does anybody know if the jorge diamond #1 is in fact this strain ? the local dispensary claims to have jorge diamond and sais it is blueberry x white widow. i've never seen any description before.”"
Freckles88,https://www.leafly.com/hybrid/blue-widow/reviews/1527325,"“Slow acting over all a smooth high great for pain management .”"
Yourstonerbro,https://www.leafly.com/hybrid/blue-widow/reviews/1237898,"“one of the best great flavor highly recommend”"
i_miss_u_cupcake,https://www.leafly.com/hybrid/blue-widow/reviews/1169309,"“This is a great day and night strain. Smoke a little, feel uplifted in the clouds. Your head will swim with creative thoughts. Mostly the last 5 or so songs you last listened to. Wait, no. That's my playlist... Smoke a little more, and now, you sit back into your comfy couch of clouds. Your blissful attitude continues until you fall asleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee”"
Yourstonerbro,https://www.leafly.com/hybrid/blue-widow/reviews/1237898,"“one of the best great flavor highly recommend”"
Freckles88,https://www.leafly.com/hybrid/blue-widow/reviews/1527325,"“Slow acting over all a smooth high great for pain management .”"
NanoHaze,https://www.leafly.com/hybrid/blue-widow/reviews/1328981,"“BB is general a great strain: Nice taste n' flavour. BB have a compact grow, with a flowering period of 60 day. May be, with a highest THC content, BB could she transform in a premium strain”"
greeneverett,https://www.leafly.com/hybrid/blue-widow/reviews/1169298,"“The exact thing I'm looking for when I think of a 50/50 hybrid.  Both uplifting and relaxing, euphoric and long-lasting.  I got a good amount of pain relief as well, without it making me tired.

I recall the first time I tried Blue Widow.  It was a Sunday and I was watching football with a friend and medicating with BW.  I recall a very happy feeling with a good deal of pain relief (in my foot).  The effect lasted fo...”"
jefrick,https://www.leafly.com/hybrid/blue-widow/reviews/1386552,"“Perfect for relaxing and getting rid of anxiety and deffinetly good for sleep”"
Alberto8793,https://www.leafly.com/hybrid/blue-widow/reviews/1148523,"“Was incredibly uplifting and relaxing. Relieves muscle tension and gives a clean high that puts you in a good mood and ready for your day! Great strain for a wake and bake”"
HazeyQuail,https://www.leafly.com/hybrid/blue-widow/reviews/1103525,"“I'm currently vaping this and I am so happy right now. Great for migraines(had one earlier), pain, and depression(was depressed, now I have a grin on my face.) You've got to try it, vape it if possible :]”"
jefrick,https://www.leafly.com/hybrid/blue-widow/reviews/1386551,"“Great for nighttime insomniacs amazing strain!!!!”"
jefrick,https://www.leafly.com/hybrid/blue-widow/reviews/1386552,"“Perfect for relaxing and getting rid of anxiety and deffinetly good for sleep”"
ElijahPascal,https://www.leafly.com/hybrid/blue-widow/reviews/1231898,"“Blue Widow is definitely one of my favorites. Very clean taste and smell, not too pungent. Also Love the high, very uplifting and happy. Great for mornings before class!”"
ronnie.chancy,https://www.leafly.com/hybrid/blue-widow/reviews/1351997,"“Used mostly for pain relief. Helped me feel euphoric as well, pain relief usually came once euphoria had subsided.”"
GreenSpirited,https://www.leafly.com/hybrid/blue-widow/reviews/1583821,"“Very strong. Not sure about everyone else but when I smoke/vape, my posture automatically corrects itself. I found that very present with this strain. My body was straightening up and working out muscle tensions all by itself, but I would call it a body high. For me was very much head high and behind the eyes.

Was a bit cocky and smoked more than I was warned too. It hit me within 5 minutes like an invisible wall of...”"
GreenPie,https://www.leafly.com/hybrid/blue-widow/reviews/1305994,"“The newest phenotype of this strain from The Station is off the chain!!! Great chill mind numbing stone. Classy heavy indica that smells orgasmic, a hint of Blueberry with that sharp fresh tasty White Widow scent! Helps me get to sleep and slow down my thinking. No raciness or paranoia at all. I'm so glad they finally did this strain justice by growing it right. The previous phenotype I had was really weak, this new ...”"
Yourstonerbro,https://www.leafly.com/hybrid/blue-widow/reviews/1237898,"“one of the best great flavor highly recommend”"
TomasuKush,https://www.leafly.com/hybrid/blue-widow/reviews/1658569,"“Easily my new favorite all time strain!

Smooth but quite a cougher! Flowery and aromatic scent when smoked, spicy and less pungent than most before smoked. 

Super fast and hard hitting! Like a your bit by a beautiful blue Widow spider and thought nothing of it till 3 minutes later when it's inescapably splashing it's psychadelic wavey venom through your conscience!

Im a big lover of the way it intensifies your foc...”"
1kushking,https://www.leafly.com/hybrid/blue-widow/reviews/1722120,"“Happy, mellow, chill, & sleepy were the effects. Sweet berry with a little blueberry & pine were the smells & tastes. Firm medium green & golden yellow buds with light brown pistils. Fine amber hairs & small trichomes covered the buds. Cultivated by Sun Kissed Flower with 18% THC. Strain AKA Berry White & White Berry. Best for relaxation. 420 Out!”"
jefrick,https://www.leafly.com/hybrid/blue-widow/reviews/1386551,"“Great for nighttime insomniacs amazing strain!!!!”"
redeyedbandit,https://www.leafly.com/hybrid/blue-widow/reviews/1351987,"“was kind of haveing a shitty day, stopped at my dispensery on the way  home, grabbed some of this blue widow. Im at home now sitting on the couch feeling like a million bucks! love it!”"
NanoHaze,https://www.leafly.com/hybrid/blue-widow/reviews/1328981,"“BB is general a great strain: Nice taste n' flavour. BB have a compact grow, with a flowering period of 60 day. May be, with a highest THC content, BB could she transform in a premium strain”"
jefrick,https://www.leafly.com/hybrid/blue-widow/reviews/1386552,"“Perfect for relaxing and getting rid of anxiety and deffinetly good for sleep”"
HazeyQuail,https://www.leafly.com/hybrid/blue-widow/reviews/1103525,"“I'm currently vaping this and I am so happy right now. Great for migraines(had one earlier), pain, and depression(was depressed, now I have a grin on my face.) You've got to try it, vape it if possible :]”"
Alberto8793,https://www.leafly.com/hybrid/blue-widow/reviews/1148523,"“Was incredibly uplifting and relaxing. Relieves muscle tension and gives a clean high that puts you in a good mood and ready for your day! Great strain for a wake and bake”"
ronnie.chancy,https://www.leafly.com/hybrid/blue-widow/reviews/1351997,"“Used mostly for pain relief. Helped me feel euphoric as well, pain relief usually came once euphoria had subsided.”"
Yourstonerbro,https://www.leafly.com/hybrid/blue-widow/reviews/1237898,"“one of the best great flavor highly recommend”"
BigBadAssBowlPackinSteve,https://www.leafly.com/hybrid/blue-widow/reviews/1319856,"“I grade my weed according to "the bar" and real G's know what I'm sayin. I want weed that raises the bar. So first things first, the smell. The smell of this weed is so fucking good and strong. Breaks up fluffy, and goddamn am I lovin this high. I have only smoked this through water so far, can't speak for the clouds. It is one uplifting strain.”"
NanoHaze,https://www.leafly.com/hybrid/blue-widow/reviews/1328981,"“BB is general a great strain: Nice taste n' flavour. BB have a compact grow, with a flowering period of 60 day. May be, with a highest THC content, BB could she transform in a premium strain”"
jefrick,https://www.leafly.com/hybrid/blue-widow/reviews/1386552,"“Perfect for relaxing and getting rid of anxiety and deffinetly good for sleep”"
HazeyQuail,https://www.leafly.com/hybrid/blue-widow/reviews/1103525,"“I'm currently vaping this and I am so happy right now. Great for migraines(had one earlier), pain, and depression(was depressed, now I have a grin on my face.) You've got to try it, vape it if possible :]”"
i_miss_u_cupcake,https://www.leafly.com/hybrid/blue-widow/reviews/1169309,"“This is a great day and night strain. Smoke a little, feel uplifted in the clouds. Your head will swim with creative thoughts. Mostly the last 5 or so songs you last listened to. Wait, no. That's my playlist... Smoke a little more, and now, you sit back into your comfy couch of clouds. Your blissful attitude continues until you fall asleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee”"
Bostonpro,https://www.leafly.com/hybrid/blue-widow/reviews/1684949,"“Very smooth and mild flavor.  Vaped it at 380.  This was one of the first strains to not cause a coughing fit for my wife.”"
ronnie.chancy,https://www.leafly.com/hybrid/blue-widow/reviews/1351997,"“Used mostly for pain relief. Helped me feel euphoric as well, pain relief usually came once euphoria had subsided.”"
redeyedbandit,https://www.leafly.com/hybrid/blue-widow/reviews/1351987,"“was kind of haveing a shitty day, stopped at my dispensery on the way  home, grabbed some of this blue widow. Im at home now sitting on the couch feeling like a million bucks! love it!”"
BigBadAssBowlPackinSteve,https://www.leafly.com/hybrid/blue-widow/reviews/1319856,"“I grade my weed according to "the bar" and real G's know what I'm sayin. I want weed that raises the bar. So first things first, the smell. The smell of this weed is so fucking good and strong. Breaks up fluffy, and goddamn am I lovin this high. I have only smoked this through water so far, can't speak for the clouds. It is one uplifting strain.”"
inthewild,https://www.leafly.com/hybrid/blue-widow/reviews/1351985,"“I know a lot of people like this strain but I had repeated anxiety attacks with this strain. Usually the intensity will subside after smoking it a few times. This was not the case for this strain. Not good for anyone with anxiety issues in my opinion.”"
arnoski,https://www.leafly.com/hybrid/blue-widow/reviews/1371894,"“Solid strain: not much of a high and it drastically increases my motivation and focus. I tend to get a lot done when smoking this, but there's a caveat: it always makes me cranky as hell when someone interrupts my train of thought. 

This is a sequester-myself-away-and-work strain, for me, rather than a social butterfly in a puff. Good stuff, but I have to be selective about its use.”"
TessElation,https://www.leafly.com/hybrid/blue-widow/reviews/1103541,"“I smoked this strain after work, while I was dealing with back pain, fatigue and well just a long day.  After just 2 hits from the bong I was feeling spunky again and was thinking about what I should get done next. It feels great to have bounced back from my day so quickly, I thought for sure my night was done for the second I got home and sat down!”"
jefrick,https://www.leafly.com/hybrid/blue-widow/reviews/1386552,"“Perfect for relaxing and getting rid of anxiety and deffinetly good for sleep”"
aromero550,https://www.leafly.com/hybrid/blue-widow/reviews/1169304,"“This is by far the smoothest concentrate I've gotten from Minerva Canna Group. Being that concentrates are generally harsher than bud this allowed me to take big, long lasting hits from a bong with a ceramic nail. 
Being that this is definitely a butane-made concentrate, I can't comment on flavors being that everything is masked by the taste of the solvent. 
I'm feeling uplifted and happy now, this seems like it'd be...”"
