Cali Kush
=============
Grimreefah,https://www.leafly.com/hybrid/cali-kush/reviews/1416523,"“1 bowl had me in the 7th dimension riding my space camel”"
MrFuzz420,https://www.leafly.com/hybrid/cali-kush/reviews/1415189,"“Very nice strain. I found myself watching Quantico the tv show for hours on Hulu. This strain will leave you very relaxed yet not so relaxed to where you get that dreaded "couch lock" effect (although some days I don't mind that lol). It's an earthy taste and smooth on the lungs. 

I feel like I got more of an Indica for this hybrid in my personal batch and would love to try one that's more Sativa than Incica. 

The ...”"
AlexDaRed,https://www.leafly.com/hybrid/cali-kush/reviews/1415190,"“This is one of my top 3 favorite strains of weed. I first tried it in January, and after that, it instantly became one of my favorites. This particular plant had a smooth feeling to it
it doesnt take much to get high off ot it”"
curiousgeorge03,https://www.leafly.com/hybrid/cali-kush/reviews/1385315,"“Great great weed. You feel the high after 3-4 hits, endives euphoria very well”"
lujke324,https://www.leafly.com/hybrid/cali-kush/reviews/1349843,"“Just recently tried this for the first time. Five people on half a G blunt and I was gone. Next step, to have a G to myself for a night. I thought ATF was some shit, this is some major shit.”"
kennyblaze,https://www.leafly.com/hybrid/cali-kush/reviews/1375953,"“Cali Kush lives up to its rep..
Just got home from work, and packed up a bowl of OG. This bud is so nice, with it's golden orange colored trichomes, and a sweet, lemon-citrus-pine aroma that is very deep and complex. As you squeeze and break up the flowers, the scent releases more, and can get quite aromatic, leaving fingers coated with the smell for a long time. Plus, you can't beat the one hit quit potency of Cali ...”"
SeriousGeorge,https://www.leafly.com/hybrid/cali-kush/reviews/1359152,"“nice and relaxed but still feel uplifted”"
revcoon,https://www.leafly.com/hybrid/cali-kush/reviews/1381656,"“good strain for pain stress and insomnia smells sweet buds are tight making for a good smoke tastes are a sweet nutty taste with earthy after tones great for just sitting back and relaxing before bed or after a long day at work stress and pain melt away”"
chrisaltobelli,https://www.leafly.com/hybrid/cali-kush/reviews/1348745,"“Good amount of energy and beatness”"
tkdtroy,https://www.leafly.com/hybrid/cali-kush/reviews/1348744,"“This is my new favorite strain over a well grown Great white shark. Cali Kush looks like it was dipped in keif”"
cannaseur420,https://www.leafly.com/hybrid/cali-kush/reviews/1333842,"“very uplifting and energetic, euphoric”"
taylovesstankydank,https://www.leafly.com/hybrid/cali-kush/reviews/1205564,"“A sweet honeydew summer type bud...lots of delicious orange hairs,.light green like yoda..Yoda loves Cali Kush”"
ladydonna,https://www.leafly.com/hybrid/cali-kush/reviews/1791901,"“Hey y'all, strain of the day today is cali kush . This is a hybrid strain that pending on the batch, it may lean more #indica or more sativa heavy.  These particular nuggets were way indica dominant . The flowers are large dense deep green orange haired beauties that have very few leaves and are packed with resious buds and trichomes. The aroma is complex. Its scent is a pungent earthy, cannabis scent with hints of c...”"
bluesngreens,https://www.leafly.com/hybrid/cali-kush/reviews/1333843,"“Great hybrid, lots of flavour, and definitely potent!”"
tsunami645,https://www.leafly.com/hybrid/cali-kush/reviews/1351927,"“I've found this strain to make me extremely thoughtful and artistically creative. easily one of the best highs I've had.”"
ttocsm,https://www.leafly.com/hybrid/cali-kush/reviews/1333844,"“Nice light head buzz. Inspirational high while comfortably relaxing. Definitely enjoyable. Cheers!”"
OctaveNelson,https://www.leafly.com/hybrid/cali-kush/reviews/1375955,"“Had about two bowls after about 2 weeks without any smoking, I honestly though I was back in preschool.. colours everywhere.. fantastic Bud”"
bluesngreens,https://www.leafly.com/hybrid/cali-kush/reviews/1333843,"“Great hybrid, lots of flavour, and definitely potent!”"
taylovesstankydank,https://www.leafly.com/hybrid/cali-kush/reviews/1205564,"“A sweet honeydew summer type bud...lots of delicious orange hairs,.light green like yoda..Yoda loves Cali Kush”"
WKONE,https://www.leafly.com/hybrid/cali-kush/reviews/1333845,"“I love this one a lot. Very much a sativa uplift right after vaping, with a nice kushy indica finish about 15min after vaping.”"
madlibs,https://www.leafly.com/hybrid/cali-kush/reviews/1083661,"“My friend and I smoked this mixed with a bit of some other sativa out of a bong. It was crazy, the highest I've ever been in my life. I was just sitting there in the car, thinking. My thoughts were insane and I made all these realizations that don't even make sense to me now that I'm sober. I didn't necessarily feel happy, just really relaxed and at peace. I was super giggly and my friend and I laughed so hard at ran...”"
ThomasHC,https://www.leafly.com/hybrid/cali-kush/reviews/1337425,"“Really fuckin' good. Top 5 for me at the moment. Beautiful lookin' bugs, smells beautiful, and just looks good. And then you smoke it and you find out it smokes as good as it smells and looks. Don't pass this up if you see it.”"
Redmamba64,https://www.leafly.com/hybrid/cali-kush/reviews/1342101,"“smoked a lot and felt little. Disappointing because of the fact that people had told me they really loved it. Still a okay head high though”"
leezomarley,https://www.leafly.com/hybrid/cali-kush/reviews/1128961,"“Nice Smell , doesnt look killer until smoked :)”"
Random4th,https://www.leafly.com/hybrid/cali-kush/reviews/1395108,"“Amazing stuff, surprisingly potent with a crisp refreshing flavor.”"
madlibs,https://www.leafly.com/hybrid/cali-kush/reviews/1083661,"“My friend and I smoked this mixed with a bit of some other sativa out of a bong. It was crazy, the highest I've ever been in my life. I was just sitting there in the car, thinking. My thoughts were insane and I made all these realizations that don't even make sense to me now that I'm sober. I didn't necessarily feel happy, just really relaxed and at peace. I was super giggly and my friend and I laughed so hard at ran...”"
jaxanthony23,https://www.leafly.com/hybrid/cali-kush/reviews/1373063,"“The name says it all. It's a very strong weed with a beautiful aroma. Taste very sweet with a very soft hint of wood flavor. I immediately feel high and a sense of euphoria that kicks in right away. I immediately feel it straight to the dome and it's a beautiful sense of awakening for your morning and it's indica effects relax you and ease you from anxiety and pain. Very good strain. Never go wrong with this pick.  ~...”"
GanjaGnu,https://www.leafly.com/hybrid/cali-kush/reviews/1411482,"“Puff puff and relax,this strain got a euphoric but relaxed high,like we say in Brazil, Ta espancando !
Very good strain.”"
erskined,https://www.leafly.com/hybrid/cali-kush/reviews/1349855,"“Nice indica strain with a sweet citrus heavy earthy aroma.”"
KushInhale,https://www.leafly.com/hybrid/cali-kush/reviews/1203126,"“good strain gets you very goofy and stoned, also gives you munchies like crazy and makes you VERY sleepy”"
oldfartincanada,https://www.leafly.com/hybrid/cali-kush/reviews/1499776,"“Very mellow weed with a strong licorice flavor as you exhale. A decent enough body buzz but a significant amount of dry mouth with this one. You'll want a slurpee or something to keep you hydrated.”"
weedymarley,https://www.leafly.com/hybrid/cali-kush/reviews/1261653,"“nice head buzz and beautiful dank  smell good for chilling”"
