Cloud 9
=============
amasseur,https://www.leafly.com/hybrid/cloud-9/reviews/1395538,"“I have been using marijuana to help manage my major depression (among other things) for a couple years now.  I came across Cloud 9 just like any other strain.  It's what my dealer had.  Until I tried Cloud 9 I was more than happy with the marijuana I was getting.  This strain showed me what it is to truly live without depression looming over my head.  It was as if God Himself put this here for me personally.  Every t...”"
Jules24,https://www.leafly.com/hybrid/cloud-9/reviews/1395539,"“This strain is intense and chill at the same time to say the least. I had 26% and a couple hits and you're definitely on a cloud floatin through sunny skies, but if too much and you might find yourself trippin out a little. Great for hangouts”"
BensBadKush,https://www.leafly.com/hybrid/cloud-9/reviews/1319092,"“Great strain! I was with a friend and smoked a bowl of this strain with a little kief from my old strain blue cheese out of their bubbler. And it was great we were both so happy and just laughing at everything. But we were in public so I would get super parinoid about ever single sound (I was in the woods partly) and for some reason my jaw would just drop every time and for some reason it was so funny for me I would ...”"
totalnv13,https://www.leafly.com/hybrid/cloud-9/reviews/1328125,"“Will leave you paranoid as fuckkkkk”"
JM-Sparrow,https://www.leafly.com/hybrid/cloud-9/reviews/1344502,"“Cloud 9 is aptly named. It makes the user feel incredibly uplifted and euphoric. It's a great strain for soaking up peaceful scenery after a hike or on the beach.”"
Shivixen,https://www.leafly.com/hybrid/cloud-9/reviews/1520603,"“It works...staff were very helpful and informative. Had a very pleasant experience and I would recommend this dispensary keep it on the map!
Cheers”"
joachim1987,https://www.leafly.com/hybrid/cloud-9/reviews/1327747,"“Good stuff”"
Valeriemya61,https://www.leafly.com/hybrid/cloud-9/reviews/1263868,"“That it is smooth and relaxing”"
bnsl,https://www.leafly.com/hybrid/cloud-9/reviews/1456448,"“Stains the pain, as google says... ' best dispensary in victoria'”"
SmokieDee,https://www.leafly.com/hybrid/cloud-9/reviews/1280050,"“good”"
Batdad42o,https://www.leafly.com/hybrid/cloud-9/reviews/1658284,"“Great place and awesome staff
Two thumbs up”"
