Crown OG
=============
lollipops,https://www.leafly.com/indica/crown-og/reviews/1347431,"“Wonderful for the sever pain of neuropathy, sleep,  and nausea.  Anxiety was demolished and I was left feeling content and sleepy.  This is my new favorite night time strain. It is a bit harsh and piney but well worth the effect.  Picked it up at The Healing Tree wellness center.  They made the perfect recommendation.  They always seem to :)”"
kingschoice,https://www.leafly.com/indica/crown-og/reviews/1410007,"“Picked up this beauty at The Famous Healers in LA, (honestly) the best OG I've had in all my 6+ years of smoking... can't be missed, def has some sativa euphoria.”"
iamkeysersose,https://www.leafly.com/indica/crown-og/reviews/1434233,"“Awesome strain. I asked the budtender which of the indica strains were the strongest because they tend to last the longest, and I don't have to smoke as much. It also smelled the best of what she showed me. A great earthy lemon lime scent and I loved that. When I smoked it, it put me on Mars and I was watching the band perform on TV with a heat map. It was awesome. It lasted a while too, maybe 3 hours! I recommend th...”"
CiroLeopizzi,https://www.leafly.com/indica/crown-og/reviews/1316306,"“what an amazing strain for pain and sleep I never felt and slept like that in a very long time 5 out of 5 AAAAA.”"
gelmel89,https://www.leafly.com/indica/crown-og/reviews/1576576,"“Crown OG is a great strain! All the amazing effects of an Indica, but the same wonderful brain buzz from a good, relaxing Sativa strain. super beautiful buds, dense and sticky, and the smoke tastes great! I LOVE LOVE LOVE that this strain doesnt cause me any anxiety (or paranoia), because even some Indicas do... i have really bad anxiety so that may  be why... and some Indicas sort of inadvertently cause me a bit of ...”"
shaun143143,https://www.leafly.com/indica/crown-og/reviews/1372249,"“"prepare for happiness" 💑”"
BaronOfBud,https://www.leafly.com/indica/crown-og/reviews/1347432,"“Crown og by Crown Genetics, a very headstrong indica with a heady high that's almost cerebral. Very dense & very yummy 5/5 quality”"
underdogscholar,https://www.leafly.com/indica/crown-og/reviews/1347436,"“Had a good time last night, nothing but laughing and feel good moments :)”"
shaun143143,https://www.leafly.com/indica/crown-og/reviews/1372249,"“"prepare for happiness" 💑”"
underdogscholar,https://www.leafly.com/indica/crown-og/reviews/1347436,"“Had a good time last night, nothing but laughing and feel good moments :)”"
kushbeach,https://www.leafly.com/indica/crown-og/reviews/1300304,"“its effects are useful for the casual stoner....and those who have hard time sleeping....dont use if you're try to catch up on a show or series....night night 5min in”"
errlriginalglobfather,https://www.leafly.com/indica/crown-og/reviews/1347434,"“great flavorful og taste”"
lidcuellar,https://www.leafly.com/indica/crown-og/reviews/1226085,"“Amazing makes you feel nice and relax”"
iameka,https://www.leafly.com/indica/crown-og/reviews/1362122,"“Definitely gave me a couch-lock sensation. Also, a numbing and tingly all over feeling that makes you feel like you're being hugged by cotton balls.”"
jayyyyneeeee,https://www.leafly.com/indica/crown-og/reviews/1236176,"“Super bomb tastes amazing. Piney candy flowery smelling it looks very nice”"
weedthenorth,https://www.leafly.com/indica/crown-og/reviews/1257315,"“Smokes medium heavy. Got me high and I'm a long time stoner. It is not that "heavy" of an indica. I specifically asked for something to knock me and though this weed is great, it puts me to sleep but I still expecting different results.”"
BaronOfBud,https://www.leafly.com/indica/crown-og/reviews/1229289,"“Cup-Winning Crown OG live resin budder processed by Gold Coast Extracts.  Sweet pine terps invade your nasal cavity and sinuses like a stealth ninja polar bear awaiting to pounce on its next victim.”"
JuanaRunner,https://www.leafly.com/indica/crown-og/reviews/1263737,"“have a quick giggle, perhaps a facial cramp from smiling, sink into your bed, comfortably numb, sleep well my friends... oh A+ FLAVOR”"
BudsyMalone,https://www.leafly.com/indica/crown-og/reviews/1187374,"“Great bud. Dense and colorful. I got this strain for its intended erm.. Arousal effects but I didn't notice a change. I just got real sleepy. But it was smooth, tasted amazing, and hit you like a freight train.”"
franktank1,https://www.leafly.com/indica/crown-og/reviews/1227747,"“best strain for concentrates hands down, skunky diesel pine explosion of terps in ur mouth and you feel it in your sinuses. my favorite OG!!!!!”"
BeenBlowinOG,https://www.leafly.com/indica/crown-og/reviews/1411815,"“Smoked and smelled really good. First time I picked it up and it was from BMW on Bancroft in San Diego. Put me in a nice trance after one pull.”"
markahljohnson,https://www.leafly.com/indica/crown-og/reviews/1175402,"“awesome taste great med to allow you to relax”"
PumpkinGemini11,https://www.leafly.com/indica/crown-og/reviews/1350141,"“This is by far one of the best Indicas I've every had. I've tried way over 100 strains and most Indica strains. Great for insomnia for sure. You literally fall asleep happy. No anxiety or paranoia at all. Recommend 100%.”"
sara.paria,https://www.leafly.com/indica/crown-og/reviews/1502065,"“I was looking for something to relax me and make me sleep and this bitch did just that good for relaxing and sleep I love it”"
OGAfshar,https://www.leafly.com/indica/crown-og/reviews/1518725,"“My favorite so far. No stress, just a feel-good strain.”"
jayyyyneeeee,https://www.leafly.com/indica/crown-og/reviews/1236176,"“Super bomb tastes amazing. Piney candy flowery smelling it looks very nice”"
lidcuellar,https://www.leafly.com/indica/crown-og/reviews/1226085,"“Amazing makes you feel nice and relax”"
Djfuche,https://www.leafly.com/indica/crown-og/reviews/1721562,"“This one was nice after a long day of work. With some sativa euphoria then a instant Indica feeling of relaxation kicks in. One of the top ogs I’ve had. Got it from chronickkushco.ca”"
Tmantra,https://www.leafly.com/indica/crown-og/reviews/1785514,"“Great strain from ChronicKush, mellow and content, no burnout and great for someone with a lot of fatigue.”"
ayeelo,https://www.leafly.com/indica/crown-og/reviews/1327681,"“Bomb very head high to me”"
weedthenorth,https://www.leafly.com/indica/crown-og/reviews/1257315,"“Smokes medium heavy. Got me high and I'm a long time stoner. It is not that "heavy" of an indica. I specifically asked for something to knock me and though this weed is great, it puts me to sleep but I still expecting different results.”"
iameka,https://www.leafly.com/indica/crown-og/reviews/1362122,"“Definitely gave me a couch-lock sensation. Also, a numbing and tingly all over feeling that makes you feel like you're being hugged by cotton balls.”"
713,https://www.leafly.com/indica/crown-og/reviews/1411253,"“I give this strain 4 1/2 stars because it has you super high don't get me wrong but if you sit down you will pass out  💪🏿”"
rocketpower,https://www.leafly.com/indica/crown-og/reviews/1176055,"“This stuff had me telling other people to stop moving around because I was shaky as hell, then it had me severely couch locked to a set of concrete steps. 9.5/10 would highly recommend!”"
ESChocBear,https://www.leafly.com/indica/crown-og/reviews/1363715,"“Picked up a few 1/8 's of their reserve that came in the personal jar a couple months ago...So when I walked into my usual Dispensary GEP & saw they had just got in a fresh batch...I had to cop an O!!! Def a go to for my terrible insomnia! A new fav esp sense I mostly smoke indicas”"
