Dank Sinatra
=============
mrclassic29,https://www.leafly.com/hybrid/dank-sinatra/reviews/1397933,"“I'm from Brooklyn ny and it's dope to get a strain like this. I was very surprised how strong of an indica hybrid it is, for me personally it puts me to sleep and I like that because I sometimes have trouble sleeping. I get a great fruity berry almost diesel like smell, buds are very dense. It may not seem icy but once you split it open it's a winter wonderland. You honestly could just take a few pulls or tokes and i...”"
jimmyjames57,https://www.leafly.com/hybrid/dank-sinatra/reviews/1490568,"“best name ever. beautiful high. my head feels like butterflies.”"
nymann50,https://www.leafly.com/hybrid/dank-sinatra/reviews/1387302,"“Very good”"
smokbiggarton,https://www.leafly.com/hybrid/dank-sinatra/reviews/1494724,"“Has a fruity smell especially when you split it open and see them crystal. Very heavy smoke..great for sleep”"
all41or14for420,https://www.leafly.com/hybrid/dank-sinatra/reviews/1639912,"“Very good strain made all my days worries melt away”"
tcusick50,https://www.leafly.com/hybrid/dank-sinatra/reviews/1615146,"“I tried this last night.  I took 2 small hits, and soon after I was extremely dizzy.  Very powerful.  I didn’t care for it.”"
nymann50,https://www.leafly.com/hybrid/dank-sinatra/reviews/1387303,"“Very good High”"
loveablelu,https://www.leafly.com/hybrid/dank-sinatra/reviews/1398759,"“tried this and loved it! Also people here are so great!”"
WeatherednBoston,https://www.leafly.com/hybrid/dank-sinatra/reviews/1599561,"“Nice smooth and strong.”"
smallface,https://www.leafly.com/hybrid/dank-sinatra/reviews/1423853,"“Slight headache but really great and uplifting high”"
