Exodus Cheese
=============
sirgavofgreensmoke,https://www.leafly.com/hybrid/exodus-cheese/reviews/1378665,"“this isn't the original cheese, or even the one favoured by the exodus collective, which remains 'clone only' to this day. 

 the real deal has a taste as strong as the smell, and it's the fruitiest thing this side of blueberry, but considerably more potent and so deserves respect; it's caused more 'whiteys' than any other strain in the uk, and takes a while to get used to.

 the biggest problem is that funky sme...”"
hi2,https://www.leafly.com/hybrid/exodus-cheese/reviews/1417293,"“A phenotype of Skunk #1, this is an offspring of the original, and it is sativa dominant.  Perfect for the morning.  You'll feel wide awake and energetic.  Gives you that wide eyed effect where you almost forget to blink!   There's a euphoria (can't stop smiling), and you're fully functional...Definitely in my top ten for the morning...Great start to the day.”"
i_miss_u_cupcake,https://www.leafly.com/hybrid/exodus-cheese/reviews/1344521,"“You're hiking up a mountain. Things start to look cooler as you continue to ascend since you can see further than you've ever before. Your head starts to feel a little different due to the change in air pressure. But when you finally reach the top, an indescribable, awe-inspiring view smacks you in the face. You sit down to bask in and respect it's glory. Your muscles relax and a smile spreads across your face. You l...”"
SeatownHaze,https://www.leafly.com/hybrid/exodus-cheese/reviews/1417294,"“Oh, it's about to get biblical up in this bitch. Smoking this had me stoney for a solid 4 hours straight. I went apeshit in the kitchen and cooked up a huge pot of chili that'll last for a couple months. Definitely will try more strains in the future with Cheese in the name.”"
River,https://www.leafly.com/hybrid/exodus-cheese/reviews/1417295,"“This Medicine, I picked up last week and has been working wonders!  I have ADHD, in the past I have tried Ridalin RX and didn't like the side affects but loved how it helped my ADHD. well nedlest to say this strain helps just the same but no side affects :). 

Peace and Cannabus”"
Anonymous,https://www.leafly.com/hybrid/exodus-cheese/reviews/1417296,"“Exo is a nice weed to smoke when stressed, it really helps you relax and it is a great medicine against nausea (personal experiment). Good price and nice buzz, really enjoyed it”"
SirBronn,https://www.leafly.com/hybrid/exodus-cheese/reviews/1411098,"“This cut was provided by Grow ops farms in Washington State. This was also my first time trying this strain. The buds are a beautiful lime kinda green that smell absolutely insane! This is one of if not THE Fruitiest smelling buds I have ever smelled. Smell is kinda like a hybrid between strawberry lemonade and fruit loops. The taste only loses a small amount of poignant smell of fruit. The high lasts a good 3-4 hour...”"
PaquinQC,https://www.leafly.com/hybrid/exodus-cheese/reviews/1417297,"“seriously fall in love with that kind! Smoke a joint, got a little high, but 10 minutes after god a hard cerebral high. Good hybrid strain, he dosen't hit your fatigue too much, good daytime strain if use with small dose. Pretty big smell, not skunk, but a heavy smell, I don't think he really smell like cheese, but something pugent.”"
JackFlash92,https://www.leafly.com/hybrid/exodus-cheese/reviews/1411101,"“Great smelling bud, smelt like a cheese counter in a supermarket. As for the high a really nice bud that doesn't completely write you off, good to use if you still have stuff to do with your day like cleaning, cooking etc... Relaxing, euphoric and focused”"
jonnyfirewater,https://www.leafly.com/hybrid/exodus-cheese/reviews/1233857,"“so I bought a 1/8th today from a local north Spokane smoke shop of this blueberry smelling light and dark green just WOW. this is some good stonie weed. my wife was sitting about ten feet from men! and I opens the jar from phatpanda while she read a book. the next thing I know she's in my face going where you get that stinky Shi# and I told her to check out satori.”"
kap503,https://www.leafly.com/hybrid/exodus-cheese/reviews/1411100,"“As a lover of the cheeses, this one is superb.  Very nice strain, nice body high, helps with hunger and nausea, slept like a baby....”"
pitas,https://www.leafly.com/hybrid/exodus-cheese/reviews/1378547,"“One of the best strains ever!! If u find a good breed, only a small/normal j of your standards will make u just high enough for 2-3 hours, which is great for daytime! Now if u want a good buzz just smoke more, sit down and enjoy the "trip" ;)
5/5”"
GreenGreenWA,https://www.leafly.com/hybrid/exodus-cheese/reviews/1399335,"“Purple Cheddar is Exodus Cheese /GDP...blissfully,orgasmic...with out blowing your load”"
GanjaGod70,https://www.leafly.com/hybrid/exodus-cheese/reviews/1693150,"“I have Luton Cheese which is what this is apparently. It definitely matches the smell to ‘exodus cheese’ so I assume it’s the same strain. I am in the U.K. so proper cheese ere lads.

I’m easily anxious or paranoid whilst high. So for anyone similar to me this review is for you. 

The smell from this strain is very pungent (50% ) with an equal mix (25%&25%) of cheese and blueberry? I can’t pin it but I think that’s w...”"
DamienDarke,https://www.leafly.com/hybrid/exodus-cheese/reviews/1411095,"“Kind of strange smelling, and tastes terrible.  I tasted like I was smoking straight resin. But this stuff made me so lazy, that I didn't want to do anything. I felt completely energized at the same time though, and wanted to do more than I was.  It lasted a few hours, and comes with some serious couch-lock.  I would suggest smoking this before you go to bed, or if you need an excuse not to do anything.”"
