God's Gift
=============
DARTH_VAPOR,https://www.leafly.com/indica/gods-gift/reviews/1415126,"“Don't mind that I'm sinking into my bed right now. Relaxing, and a fairly fuzzy brain right now...or I might just be getting tired. No energetic mind-racing effects. Pretty relaxing, vegging state right now. A movie sounds good. But the internet sounds good too. The internet is like a movie you can control. But it's also on average a more boring movie than watching an ACTUAL movie.”"
deadlightbulb,https://www.leafly.com/indica/gods-gift/reviews/1414033,"“🍇🌚 Bong ripped, off we drift on God's Gift;
Time slipped, eyelids getting hard to lift.
This is one amazing strain. Very potent and delicious. It will put everything at ease. It will make you smile. It will sit you down. It will reassure you that everything is okay. It will even make sure you eat! If a strain could be your mother, this would be it! It tastes amazing. Sweet like a berry with a touch of citrus along ...”"
Smokingvibes,https://www.leafly.com/indica/gods-gift/reviews/1413274,"“Gods Gift is a very amazing strain! The high is very strong due to the high THC levels. Gods Gift is the type of strain that will turn a bad day into an overall amazing day very quickly... leaves you very giggly, smiley, and just overall happy! Once you sit back and relax it leaves you very calm and very laid back, including severe couch lock. I would recommend this strain to everyone, it was an honor having Gods Gif...”"
Delsin,https://www.leafly.com/indica/gods-gift/reviews/1397354,"“Captains Log: 3.10.15 5:37pm
amount consumed: 0.25g
physical description: a soft, dense feel to the bud, which was a darker green with purple scattered throughout.

cerebral experience: "God's gift" is indeed as its title suggests: a gift. A mere thirty minutes into smoking, I begin to feel the floor of a fall that I can only describe as the mental equivalent of sinking to the bottom of the ocean. I feel very heavy, ...”"
she-reefer,https://www.leafly.com/indica/gods-gift/reviews/1416335,"“i have mutiple sclorosis known as (ms) i am 18 and was diagnosed when i was 14 in 2oo7 as well as being diagnosed my mother passed away l december 15 o7.  2007 was a very difficult year for me. dropped out of school as well as mutiple hostpitle visits... it wasent till i turned 16 when i discoverd marijuana.. ive tryed many many diffrent types from "reggie"- to "HYdro" and by far this is the BEST! has helped with dep...”"
cduncan99,https://www.leafly.com/indica/gods-gift/reviews/1416405,"“Excellent for stress, anxiety, and paranoia: God's Gift replaced Xanax!!!”"
AKushTopia,https://www.leafly.com/indica/gods-gift/reviews/1412055,"“(Seattle Test 05/23/2016 15 Strains from 7 Retail Stores)

God's gift is a great strain, sharp initial taste. This strain is definitely potent and the company we got it from did a fantastic job. Out of 15 strains that we tested in Seattle this was rated in the top 5. Lots of crystals and very impressive buds.”"
KristinaKinda,https://www.leafly.com/indica/gods-gift/reviews/1416401,"“picked up a quarter of this today at the dispensary and put it in the trunk of my car while I ran errands only to return to the entire inside of my car smelling like this little gift. very strong dank smell but also berry which I think makes the hits so smooth. Heavy hitter indica but without the sleepiness so one of the rare ones I can use during the day. definitely feel a body high, very calm too which is why I'd s...”"
stankybacon,https://www.leafly.com/indica/gods-gift/reviews/1412056,"“God's Gift...all I can say is GODDAMN.

Melts all pain and worries. Highly suggest getting kief from this and vaping it.”"
paisleyowl,https://www.leafly.com/indica/gods-gift/reviews/1416336,"“Very similar Body buzz to GDP and a nice powerful head high.
 Think Super GDP.”"
LegitLogic,https://www.leafly.com/indica/gods-gift/reviews/1383421,"“This strain is truely a Gift from God, this strain is just outstanding, the smells the looks the tastes, Gods Gift is definitely one of my favorite strains.”"
StukaFox,https://www.leafly.com/indica/gods-gift/reviews/1413181,"“Remember that one time you were sitting down by the river and got hella baked? And you were thinking, "Damn -- I'm sitting by the river and I'm hella baked!" and then Ozzy walked up to you and were all, "DUDE! It's OZZY!" and right before you were going to launch into your tre' awesome air-guitar solo of Crazy Train he whips out his dick and pisses all over your forehead because he was on his third 5th of Old Grandad...”"
Mikefu,https://www.leafly.com/indica/gods-gift/reviews/1414224,"“Great body high, pain relief, and overall calm.  Don't try to get a lot done after smoking. Pretty heavy couch lock.  Vaporized tastes fruity and piney, with heavy resin notes.  Dense, sticky buds.  Great overall!”"
mWilhelm4,https://www.leafly.com/indica/gods-gift/reviews/1387190,"“This strain of Cannabis, God's Gift, basically puts me into a coma where I cannot really do anything. Definite couch lock along with a great body buzz and tingling sensations as your muscles relax. This strain is great for smoking at night to take the edge off your day and remain stress-free throughout the night.”"
Kushblower69,https://www.leafly.com/indica/gods-gift/reviews/1324369,"“THIS FUCKING STRAIN WILL MAKE U WANNA SLEEP FOREVER AFTER A FEW HITS, basically makes you feel like your floating on a cloud in heaven!!! Gods Gift actually makes u feel like worshiping it.”"
pancaketreehouse,https://www.leafly.com/indica/gods-gift/reviews/1383133,"“We have two opinions on this:

A) Gives a generally improved sense of well being and happiness, greater inclination to talk and think, produces a pleasant heavy feeling in the chest & head, increases hunger and makes your eyes feel heavy. Very enjoyable, natural high. Calms you down and makes you interested in the things around you rather than the possible things you could be doing elsewhere. 

B) I agree with th...”"
Deitab,https://www.leafly.com/indica/gods-gift/reviews/1361777,"“Just one of those strains that hits hard and stays good all throughout the high.  Nice, relaxing & dependable strain, even if my dispensary says it's not the best batch.  I have no complaints!”"
snocone21,https://www.leafly.com/indica/gods-gift/reviews/1385599,"“Tried quite a few strains, but this is the first that made me want to write how amazing it is. It helps when I cant get to sleep yet it is not overwhelming so I can still be up and engaged during the day. Good flavor so relaxing. So far my absolute favorite.”"
goodreviewer,https://www.leafly.com/indica/gods-gift/reviews/1363933,"“This strain is great for back or muscle pain. Within 2-3 hits, I can feel my back pain disappear. No anxiety. Very stony and cerebral Indica. My dispensary sells 4G for $30. This really is a great strain.”"
weedonmypants,https://www.leafly.com/indica/gods-gift/reviews/1367007,"“My personal favorite strain, it hits you hard. You can  really feel the indica. Great for a stress reliever and really helps with anxiety.”"
ChasingRabbits,https://www.leafly.com/indica/gods-gift/reviews/1383121,"“This strain is incredible. It's a cerebral high that leaves you couch locked. It is very potent, so I don't recommend going about your daily routine while medicated. The taste is sweet and the smell is fruity. The only downside about this strain is the dry throat it gives you.”"
Sapphyy,https://www.leafly.com/indica/gods-gift/reviews/1375958,"“This is a sleeper! I've suffered from Insomnia my entire life so I always appreciate a well grown Indica that can put me out. After a gram or so though the Roor and i'll be out 100% of the time. I'll swear by it for Insomnia. Would suggest to anyone! VERY unique smell and taste's very hashy almost earthy. Delicious! I also use it in smaller amounts if i'm having any kind of muscle pain (mostly back pain) and it relie...”"
twiliprincipessa67,https://www.leafly.com/indica/gods-gift/reviews/1379874,"“This strain really makes you horny...lol....shhhhhhhh”"
bradk,https://www.leafly.com/indica/gods-gift/reviews/1368981,"“I'm gonna keep this short and sweet by saying that gods gift is one of the best strains I've ever tried and has a real earthy smell too it. In other words it simply astounding and will get you sky high”"
iDrum420,https://www.leafly.com/indica/gods-gift/reviews/1119339,"“God's Gift indeed, this strain is AMAZING!!! Very sedative indica with to much you'll be couch locked for a while. Great for my leg and back pains, and great for anxiety, this strain knocks you out and you'll be wanting to do nothing but watch the clouds and lay in the grass. 
Great tight purplish-green buds.”"
TokerPokher,https://www.leafly.com/indica/gods-gift/reviews/1171460,"“good upper. a heavier feeling tho when compared to golden pineapple for example. come down is subtle.  just what I had asked for thx again OC!”"
UnderpaidStoner,https://www.leafly.com/indica/gods-gift/reviews/1344447,"“Smoking this strain has been heavenly, I work in construction and when I come home after work my knees and back are sore and I take a hit of this and its like all my pain disappears. It puts me into an extremely relaxed and euphoric state, it really holds up the "in da couch" feeling of good indica strains. I would smoke this strain again for sure 5/5”"
MS_Girl,https://www.leafly.com/indica/gods-gift/reviews/1388743,"“First, a little lead-up to my review.   I am a MMJ patient in FL with MS and Fibromyalgia.  I just spent three days in the hospital on high dose IV steroids for an MS exacerbation called "Retrobulbar Optic Neuritis".  It's an attack on the optic nerve and MS has attacked my eyes a lot over the past 20 years.  It's a real bugger and I can't even begin to describe the ocular pain and intractable headaches and nausea (a...”"
drewbador,https://www.leafly.com/indica/gods-gift/reviews/1344445,"“My first experience returning to the fold, this was an awesome, spectacular moment.  For the first time in over two years I felt NO pain.  I have since also found it's parent, Grandaddy Purple is as good or better.  If you have buzzing or tingling, give this blessing a shot.
VERY DIFFICULT TO COME BY.”"
TheGermiNation,https://www.leafly.com/indica/gods-gift/reviews/1418931,"“Fruity, tropical, chemical bouquet.  Very fruity tropical flavor with a full body heavy hitting impact.  Great for RLS, pain and insomnia.”"
kokopatron,https://www.leafly.com/indica/gods-gift/reviews/1363610,"“While smoking for this review I wrote a rap that I was gonna try to use as the review. That's how quick this gets you jacked out of your mind.

Every draw zaps your visual cortex with the force of a hundred woodstock eighths. Little moments of surreality scatter away from your focus while your brain recovers its composure. This stuff burns acrid and hits instantly.
 
This is an indica, and unsurprisingly you're gonna...”"
JustinKCHC,https://www.leafly.com/indica/gods-gift/reviews/1268353,"“Pure Grade A outdoor California grown bud that didn't look so great from the batch I got but this is absolutely a kick ass phenomenal strain. And it really hit the spot as far as indicas go. I think because I haven't had a pure indica strain in a long time and got caught up with almost hating all sativas because they tend to lack euphoria and add paranoia. So yea A+ right here.”"
