Lavender
=============
Gonff,https://www.leafly.com/indica/lavender/reviews/1394079,"“My first time getting red eyes from MMJ. It wasn't too bad, but I've been vaping for a few months now and this is the first time. 

Lavender totally took away my chronic back pain and inflammation (ankylosing spondylitis). Works quickly and seems to last. 

I was very happy, chatty and giggly. A very pleasant head experience.”"
weazal,https://www.leafly.com/indica/lavender/reviews/1418972,"“Very slow come on. Feel loose and wavy. Relaxed and somewhat giddy, but too laid back to do much. Vision is clear and RICH! Everything is really cozy and satisfying. Good tingly/fizzy body high. Very able to concentrate. A buzzy, soapy, melty physical high. Great for learning...all you want to do is kick back and absorb compelling stuff. Had an utterly fabulous time reading towards the end. Probably the best strain f...”"
PotMama,https://www.leafly.com/indica/lavender/reviews/1418973,"“I love this strain. Seriously. I love it! Great for insomnia -- I'm usually up until about 1 AM and then up by around 7 AM for the day. After smoking this, I was asleep by 10 last night! It stops my migraines, nausea, stomach pain, and chest pain associated with stress and anxiety. It calms me right down when I feel like I'm getting overwhelmed or frustrated. Definitely a strain I will keep handy!!”"
TriniFairieTrueHeart,https://www.leafly.com/indica/lavender/reviews/1414954,"“Lavender Kush is an awesome Indica.   Nice mellow flavor.    Good for Asthma.    Not harsh at all.    I use a vaporizer that uses a very small amount, .    Got home at about 3:00, had a tube and haven't needed to medicate again.    It alleviated the ripping Fibromyalgia pains in my back quickly!   Thanks to the Budtender that suggested it.”"
Vbjess,https://www.leafly.com/indica/lavender/reviews/1381640,"“This is one of my favorite strains. Perfect for the chronic pain patient who also suffers from insomnia, muscle spasms, and anxiety, this strain does not mess around. It is very strong and you will be asleep in two hours or less. As far as I'm concerned, this is like the xyrem of medical cannabis. My sleep, pain, and anxiety have all improved since starting mmj last year, but I've yet to find anything as potent for n...”"
moonbeam,https://www.leafly.com/indica/lavender/reviews/1414440,"“I can't keep my eyes open as I write this.  This is great for those nights that you have pain and can't seem to quiet your mind.  A great all-over body high.  Very relaxing.”"
DieselDude420,https://www.leafly.com/indica/lavender/reviews/1379876,"“Pro:  Smooth to smoke.  Relaxed and anxious at the same time ... maybe back and forth for the first half hour, and then you immediately fall into a very relaxed and heavy state.   Definitely tingle there in the beginning.  You aren't wantin to do much on this - TV and Computer surfing Craigslist might be in the cards with this one.   Won't even want to get up and get some food.  You also feel VERY relaxed the next mo...”"
KindGodess420,https://www.leafly.com/indica/lavender/reviews/1414955,"“🎵..Such a Kusshhhhy HappySilly  kinda Bud!..nice for tunes & munchies with friends. Euphoric?Forgetful?Heady?Fun?..YES! Delicious In-da-couch LAVENDER, She'll sit (or lay) ya right down..💜Laziness Alert!!  Tastes of SpringTime are delightful, Sun Light is dancing on my face...Another INDICA FlowerPower that lessens Depression, improves  PTSD, relieves some of my Pain and Spacticity. Pretty Good SLEEP AID "rest assu...”"
kmarie00,https://www.leafly.com/indica/lavender/reviews/1370839,"“The bud was fluffy-soft but dense, purple with lots of hairs and crystals and tasted like flowers or berries. The mind high is exceptional; music and art is an ideal thing to indulge in while high on this strain. I feel great.”"
seanzy84,https://www.leafly.com/indica/lavender/reviews/1351944,"“from: Ultra Health in NE Albuquerque. bho honeycomb tested at 69% THC and no other test results. very nice consistence, smells very sweet and floral hints. burns very nice. tastes sweet with a little herbal floral taste and a little bit spicy. very nice strain for concentrate. almost instant head high that is very soothing and relaxing. not as heavy on the body high, but can still feel a bit of muscle relaxation.”"
katesteinberg,https://www.leafly.com/indica/lavender/reviews/1417148,"“Incredible for pain relief and difficulty sleeping!”"
CannabisKingOG,https://www.leafly.com/indica/lavender/reviews/1546319,"“Lavender is an exceptional strain. It gave me a strong head buzz for about thirty minutes. During that time, I can feel the nerve passages in my face and neck receiving nerve impulses. It feels like a mellow vibration. Lavender made me very talkative with friends. That may be because I am a flamboyant extrovert, but I digress. After the initial effects, the classic indica traits come out and I begin looking for a pla...”"
SirBronn,https://www.leafly.com/indica/lavender/reviews/1375027,"“Lavender is a great reminder for me to not give up on a strain after a bad first time. I first tried Lavender in early  November after hearing good things. It was awful. So dry and unpleasant it was like smoking bad potpourri. This cut is from Grow ops farms in Washington State. The bud easily is one of the best looking buds so far in the rec market. A Bob Ross-esque cacophony of purples,pink, orange,and of course  g...”"
alisonneel,https://www.leafly.com/indica/lavender/reviews/1221791,"“For those that struggle with anxiety, panic disorders, debilitating panic attacks to the point of having to take a day off work: hear me, I speak from experience. This strain is off the charts amazing.”"
Highalldatime420,https://www.leafly.com/indica/lavender/reviews/1285509,"“After reading sum of the reviews here I gotta say I guess it differs from person to person but for me I got lucky  this strain is a must try the lavender kush I got is med grade all the bud I get is med grade  the THC content on this particular strain was 27.75 percent disclaimer this strain if you get it med grade will couchlock you if your a novice smoker I'm a veteran when it comes to weed and for a good hafe hour...”"
