Lowryder
=============
ivdemocracyvi,https://www.leafly.com/hybrid/lowryder/reviews/1369228,"“I'm a very heavy hitter (been smoking for 5 years almost every day) and jsut 2 hits got me buzzed and 4 hits got me very stoned. This is honestly one of the the best strains I've ever had. It has a smooth and tasty smoke to it also. I'm definetely growing more of this. I recommend to everyone!”"
HashNGag,https://www.leafly.com/hybrid/lowryder/reviews/1369226,"“Good, energetic high. A nice smoke for the afternoon if you want to relax but stay alert (perfect for after office work). 

Good for vaping, nice smell and taste with citrics tones across vaping, starting with a peach-like flavor when vaping a freshly ground bowl (TASTY AF). 

Have not smoked it yet - will update this review over the weekend.

Munchies? average.”"
POPUPBLOCKERON,https://www.leafly.com/hybrid/lowryder/reviews/1369227,"“Anxiety slasher that is the best 50/50 (S/I) split in my experience so far.  Absolutely great for a daytime med., to treat anxiety, depression and PTSD.  Never a dissapointement.”"
Deetom,https://www.leafly.com/hybrid/lowryder/reviews/1677457,"“My first grow was Lowryder 2. Easy to grow. Very fast flowering. not very sensitive to neglect (I had a few close calls with some of my girls lacking hydration during the flowering stage). Even under rough growing conditions, these ladies bounce right back. Quite productive. Odour varied from plant to plant. Some smelled piney, others more flowery. Some girls had a slight whiff of skunk (but really very little). Not ...”"
Semillaturn,https://www.leafly.com/hybrid/lowryder/reviews/1394562,"“Haven't choked & poked this gal yet, but from trimming her, my fingers smell like strong Christmas tree smell + fruity custards (buttermilk pie?)...must be de dank


Lowryder #2 by the way”"
corninmypoopies,https://www.leafly.com/hybrid/lowryder/reviews/1569779,"“takes about 15 mintues to kick in. clean pine flavor. very strong. heavy couch lock, random thoughts and moderate time distortion. melts pain away. super cotton mouth. high lasts quite a while. sleep like a baby after smoking this.”"
C00KIESKUSH,https://www.leafly.com/hybrid/lowryder/reviews/1369229,"“personally I loved this strain. easy to grow, easy to smoke 👍”"
228420,https://www.leafly.com/hybrid/lowryder/reviews/1181278,"“Harvested early this strain gives a more heady high with slight mind change and sets me in a good mood. I'd give it 4,5 it's very good. even not fully mature it's strong and energetic, but takes some time to creep on you. smell is amazing - very fruity with citrus tones. I'm not disappointed 👍”"
GanjaDwarf92,https://www.leafly.com/hybrid/lowryder/reviews/1359973,"“Drunk buzz(5-10shots eqv). Hungry, hands fight with me making them harder to operate. Face muscles relax. Might feel like smiling or laughing for no reason. However i thought the smell of the vaporized cannabis was not pleasant, never smelled anything like it, but perhaps skunky or smoked skunk? not very pleasant, so i tended to not breathe with my nose, so i wouldn't  have to smell it. Thats why only 3 stars. 20-40 ...”"
weedweekly,https://www.leafly.com/hybrid/lowryder/reviews/1143189,"“Strong and potent weed. Starts off slowly but kicks in with speed of light and you're blazed! 

Hunger may occur.”"
228420,https://www.leafly.com/hybrid/lowryder/reviews/1181278,"“Harvested early this strain gives a more heady high with slight mind change and sets me in a good mood. I'd give it 4,5 it's very good. even not fully mature it's strong and energetic, but takes some time to creep on you. smell is amazing - very fruity with citrus tones. I'm not disappointed 👍”"
Joeyfish,https://www.leafly.com/hybrid/lowryder/reviews/1306617,"“Good/Bad... Mainly good! :D The smoke feels pretty unique and the first impression i got was that it makes you very energized in body; almost jittery (can be taken as good or bad, but i liked) I found myself very creative when smoking this bud, but to express these idea's to others (talkative trait) depends on how much you smoke. If you have a lot, it can sometimes be very difficult to get thoughts out your mouth. Ho...”"
Banglahd,https://www.leafly.com/hybrid/lowryder/reviews/1177521,"“Great vape, with an ok taste.
Helps my nystagmus calm abit, and takes the focus away from the eyes.  A great night time "smoke" that relaxes the body and mind.”"
Iluxan,https://www.leafly.com/hybrid/lowryder/reviews/1755964,"“Взял 10 за 6,200, надо мин 2!
Делает свою работу но надо много курить, 10 за неделю ушло!
7/10”"
JDiamonds93,https://www.leafly.com/hybrid/lowryder/reviews/1603337,"“Ordered some seeds online from ams where they call it dwarf ganja along with a few other auto flower strains. So far this has grown so much quicker and bushier than the other strains with a strong dank smell. Only 5 weeks from sprouting and covered in hairy crystallised buds, can't wait to smoke this bad boy”"
SnowDemon18,https://www.leafly.com/hybrid/lowryder/reviews/1326903,"“This strain has an almost fruity aroma that's very nice. It makes you VERY giggly and takes a little to kick in but then it hits you like a ton of bricks. It's amazing. I would highly recommend it.”"
MentalWolf,https://www.leafly.com/hybrid/lowryder/reviews/1238257,"“Really good high, smells great, super strong stuff. Hit me hard”"
HighInHelsinki,https://www.leafly.com/hybrid/lowryder/reviews/1354875,"“Middle of the road high, well balanced and nothing specific to mention. Three stars just for the lack of impression. Personal thing. It is good basic weed.”"
gagencain,https://www.leafly.com/hybrid/lowryder/reviews/1320179,"“this is definetly one of those heavy hitting strains, even with a tolerance this one can hit ya hard, gotta love strains like that, like my boy leeroy the heaviest hitting strain ive had”"
gagencain,https://www.leafly.com/hybrid/lowryder/reviews/1320178,"“this is definetly one of those heavy hitting strains, even with a tolerance this one can hit ya hard, gotta love strains like that, like my boy leeroy the heaviest hitting strain ive had”"
TheSwan1620,https://www.leafly.com/hybrid/lowryder/reviews/1410877,"“Such good flavor and killer buzz.”"
GreenElf,https://www.leafly.com/hybrid/lowryder/reviews/1297790,"“Positive feelings was: Relaxed, stoned Negative feelings: Panic attack, Low constriction.. I got those after smoking 2 joints and 2 pipe. Maybe i smoked too much or something. Other day i wasn't get anything negative.”"
smokejohn,https://www.leafly.com/hybrid/lowryder/reviews/1232912,"“fast nice smell.”"
