Malawi
=============
Deetom,https://www.leafly.com/sativa/malawi/reviews/1410904,"“I grew African Buzz (a special selection of Malawi Gold) and all I've got to say is... I really, really, really like this stuff. It grew easily. Had a mildew problem. This plant resisted better than any of the other strains growing. While flowering, the smell wasn't too strong, pretty easy to conceal if you just had one or two growing at home. It smelled like lemon Pledge and Bazooka Joe bubblegum... it's a weird com...”"
DieselDude420,https://www.leafly.com/sativa/malawi/reviews/1389512,"“This stuff is excellent and a strong Sativa.   Very wide awake which I love.  I'm always tired.   It made me realize again why Counting Crows is the best band ever.   Very easy to smoke and I did 3-4 hits.  More than enough.  It's strong.”"
jpecks,https://www.leafly.com/sativa/malawi/reviews/1390580,"“A powerful sativa that looks and smells magnificent. The buds are dense and the high is very uplifting. Highly recommended for those who appreciate Durban or Snowcap. A sweet daytime smoke.”"
TKO,https://www.leafly.com/sativa/malawi/reviews/1389513,"“Great flavor! unique! Euphoric! YUM!”"
WeedReports.com,https://www.leafly.com/sativa/malawi/reviews/1395419,"“I love the 100% organic Malawi with a passion! It is very energetic and produces a dreamlike high that leaves you full of energy and in the mood to get out into nature.  I love fishing with this strain. Even after 10 hours of not catching anything, our spirits are still high and so are we!  It has a sweet soft taste that can leave a skunky smell after burned.  The high takes 5-10 minutes to come on, but then it hits ...”"
steve_goa,https://www.leafly.com/sativa/malawi/reviews/1412374,"“I'm smoking generic Malawi Gold (or what is called #1 grade) here in Lilongwe, Malawi. I must say that its better than any other strain I tried in Africa. A powerful lasting high that lasts 4 - 5 hours. Your experience will vary greatly upon your mood at the time of smoking. I recommend being relaxed. 

Procuring: Its not available on the streets, so you have to know someone who will sell you this stuff. Live in Mala...”"
willum070,https://www.leafly.com/sativa/malawi/reviews/1071532,"“I have really enjoyed the Malawi Gold strain. It vaporizes nicely and has a fruity aftertaste. The energetic effects are more pronounced with a bongload, which nicely complemented a couple of hours speeding along the local bike trail. The thing I appreciate most about Malawi is that it doesn't leave me feeling tired as the effects wear off, so it's great for daytime use. It is just a tasty well-rounded bud.”"
Bballspree88,https://www.leafly.com/sativa/malawi/reviews/1283136,"“I saw an episode of Strain Hunters when they went to Africa and found the pure Malawi Gold so when my boy told me he had a Hybridized 70 Malawi gold/ 30 silver haze his buddy just finished curing after a year and a half.. So i bought this surprisingly expensive bud which had that signature sativa stringiness and sweet smell plus the resin production of haze so i knew i was in for a good time.. I made Rosin and BAM ri...”"
blueshifter,https://www.leafly.com/sativa/malawi/reviews/1559532,"“I HAVE FOUND MY STRAIN! I consider Malawi not so much a recreational herb as My Spiritual Ally From the Plant Kingdom.

Malawi is everything you hope cannabis will be. Music sounds good, food tastes great, your bodily senses come alive and ordinary routines like stretching, massaging your feet and washing your face feel AMAZING. At the same time, your mind sparkles with curiosity and clarity; my first time out I was ...”"
Anonymous,https://www.leafly.com/sativa/malawi/reviews/1066369,"“Very unique taste when you get one of the long flowering cuts. Reminds me of fresh green olives right off the tree. A very "up", euphoric, creative effect. Nothing beats a pure, landrace Sativa!”"
lowrider,https://www.leafly.com/sativa/malawi/reviews/1319774,"“This is one of the top strains in Southern Africa. Usually found in corn cobs, africans also get the buds directly from Malawi. With it being an old growing region, with growers that take pride in thier product, you can find great produce. However majority arrives with quite a few seeds. But still a good smoke.”"
theraven,https://www.leafly.com/sativa/malawi/reviews/1232670,"“I tried the Malawi Shatter from Happy Valley and I was blown away.  It smell and tasted so good and the high was unbelievable.”"
