Melon Gum
=============
AgingEnt,https://www.leafly.com/hybrid/melon-gum/reviews/1394623,"“Got this at Old Toby in Chehalis, WA. See pictures and detailed reviews on my blog - AgingEnt.com --Brand: Honu
Strain: Melon Gum
Sativa-dominant Hybrid--
Potency Analysis: TTL 15.85% THC .14% CBD 0% THCA 17.91%
--Packaging: 4.75" x 3.25" bright pink/purple plastic and mylar rip-top, zip-top bag --
Cost: $10/gram--
This is some really pretty marijuana.  The buds are all fluffy little balls.  This value priced, $10 gr...”"
Hannahma,https://www.leafly.com/hybrid/melon-gum/reviews/1394626,"“Bomb af! It had me fucked up, and I was so relaxed and it was a chill high”"
Mrfruitloops,https://www.leafly.com/hybrid/melon-gum/reviews/1394624,"“Melon gum has a very sweet taste and an after taste of something rather earthy high lasted between 3-4 hours good morning starter but one con is how much i have to smoke IMO  if i could 3.5 stars”"
grindmystash,https://www.leafly.com/hybrid/melon-gum/reviews/1351214,"“Fantastic smoke. Smooth, taste of fruit and earth tones, very relaxed high. Helps with appetite and anxiety. I would recommend this to everyone, exceptional smoke every time.”"
Kushmind,https://www.leafly.com/hybrid/melon-gum/reviews/1350519,"“I Like so much the sweet taste, and the effect is really clean”"
feal,https://www.leafly.com/hybrid/melon-gum/reviews/1394627,"“Picked up an 1/8th of this at Harvest. They had it categorized as indica, which I sure felt at first, but I'd say it's def a hybrid. I rolled a blunt and felt dizzy at first, although after a few puffs I did fall into a nice relaxed body/mind state! This strains sativa half said hello and brought me some productivity along with the other side effects. 9/10 doctors recommend”"
MrRemasis420,https://www.leafly.com/hybrid/melon-gum/reviews/1394625,"“I don't recommend it for new smockers, one friend of mine had a bad response to it because of it's strength, this strain is very strong”"
gonzatorresg,https://www.leafly.com/hybrid/melon-gum/reviews/1394628,"“Huge!!
Nice trip, lots of laugh and even some psicodelic peak moments. Definitely a very flowery strain, predominating sativa.
Best ones”"
ladeeinredd,https://www.leafly.com/hybrid/melon-gum/reviews/1396257,"“Got some Melon Gum shatter at Oasis here in Gilbert, AZ. Firebrand. Great taste, very sweet with a little tart melon.”"
pollensilva,https://www.leafly.com/hybrid/melon-gum/reviews/1781256,"“It’s definitely a good strain, very  potent (that’s why I wouldn’t recommend it to new smokers), just one puff is enough to feel it acting on your body and mind, it has a nice sweet flavor, which brings a lot of fruity flavors in your mouth and makes it really delicious, even when smoked, you still can feel many of this flavors, but a vape would be the perfect choice.

Seconds after the first puff, you feel relaxed, ...”"
GRAE2014,https://www.leafly.com/hybrid/melon-gum/reviews/1201996,"“The BEST flavored concentrate cartridge EVER!!
Did you hear me?
BEST EVERY!!
Ive had it ONE time and it made one hell of an impression!”"
Shawncho,https://www.leafly.com/hybrid/melon-gum/reviews/1366711,"“It's been a few years since I grew this strain but I'll try and fill in the blanks from what I remember. Grew in 5 gallon pot with FoxFarms Happy Frog, Ocean Forest ,Budswell guano mix, added perlite and some of the FoxFarms beastie Bloom at the end. Was a breeze to grow this way(beginner friendly) I don't remember having to super crop or bend it so not a lot of room needed. The finished product was some really tropi...”"
kayyscapital,https://www.leafly.com/hybrid/melon-gum/reviews/1205727,"“More indica vibes, like the taste. enjoy the color; overall can't complain, haha.”"
bigocb,https://www.leafly.com/hybrid/melon-gum/reviews/1203482,"“Great first taste, fruity and light. Smells fruit and tropical. High is great, very head centric to start. Eventually settles in to a relaxed body stone.”"
IvanMartin95,https://www.leafly.com/hybrid/melon-gum/reviews/1294573,"“I actually got a slight mix on this strain; I picked up some *Sour* Melon Gum but OH MY GOD this strain is everything I was hoping for. Gets you just good enough with a mellow body high but not enough to couch lock you. Then it comes in with a second wave but this time cerebral. This strain would be good for just about anything. Great for anything from watching a movie to cleaning your entire house. I would recommend...”"
Buttongypsy72,https://www.leafly.com/hybrid/melon-gum/reviews/1710642,"“For the sheer joy I got shoving my lil nose in the bag and hugging the lush fruity  aroma....on deep sniff it is taart..a bit like fruit stripe gum. A bit to indy for my sativadiva self to give it 5 stars... it's overall an enjoyable puff.....I liked it enough to leave a review”"
sirenfirehawk,https://www.leafly.com/hybrid/melon-gum/reviews/1140519,"“Melon Gum is a rather weak strain, but for 10 dollars per gram it was not bad. My high was mediocre and lasted about 2 hours. (Smoked 3-5 buds with a water pipe)”"
mattymarkie24,https://www.leafly.com/hybrid/melon-gum/reviews/1256850,"“yummy!!! great sativa/indica blended strain.. heavier on the indica side but a very nice head buzz too :D”"
VancouverUSA,https://www.leafly.com/hybrid/melon-gum/reviews/1178865,"“I picked up Melon Gum by Urban Farms a few times now. I got a wonderful melon aroma and a well flushed, clean smoke taste. Relaxed easy body high and a giddy warm heart. Zapped the back pain that my bay 11 never touched.”"
XDavidKingx,https://www.leafly.com/hybrid/melon-gum/reviews/1754305,"“Very good looking full buds that have a good taste”"
cogollohazer,https://www.leafly.com/hybrid/melon-gum/reviews/1393262,"“Melongum
Aroma muy penetrante e intenso, dulce afrutado y floral con el curado a alcanzado unas notas pasteleras que recuerdan a pasteles con rayaduras de limon que se mezclan con las notas dulces afrutadas y florales  que dominaban desde el principio
Sabor dulce cremoso afrutado muy duradero en boca
Efecto potente relajante sedante muy medicinal una gran variedad muy agradable para el consumo en horario de descanso”"
SandPapaino,https://www.leafly.com/hybrid/melon-gum/reviews/1305748,"“love it”"
IamHitch,https://www.leafly.com/hybrid/melon-gum/reviews/1307361,"“An okay sativa strain, amazingly sweet taste, aromas of sweet citrus, burns well, smooth smoke. Has a mellow spacey head high with a light underwhelming body high. If you are looking for something that tastes good this is a good strain, other than that there are better more effective strains around.”"
Jemey,https://www.leafly.com/hybrid/melon-gum/reviews/1398210,"“This stuff is a great bedtime bud and tastes yummy.”"
lovvv,https://www.leafly.com/hybrid/melon-gum/reviews/1145680,"“Melon gum took a bit longer to hit, but the high was good. It was energetic and short, and I was completely clear-headed after the high was over.”"
jscovs,https://www.leafly.com/hybrid/melon-gum/reviews/1219598,"“Good all-around sativa. No one effect stands out in one way or another but all are pretty powerful. Good for just improving your day.”"
KKjong,https://www.leafly.com/hybrid/melon-gum/reviews/1559222,"“Wow what a pleasant suprise is this weed!! Great smooth REAL melon flavour, as a flower and when smoked. Ideal for couchsurfing. Outstanding mix of every aspect good weed needs in my opinion; calming, relaxing, moodbooster, with a nice indica punch for the bodyrelaxation. I have to admit I'm not even a bit of a Bubblegum-fan, most of the time it has a bit of a sharp and dry, unpleasant smoke is my experience, and tru...”"
WolffBenz,https://www.leafly.com/hybrid/melon-gum/reviews/1262720,"“One of my favorites! Is so soft and sweet, really good to get a little creative doing anything, and listening music but it linda make u feel paranoic. 9/10”"
levitaylor78,https://www.leafly.com/hybrid/melon-gum/reviews/1389680,"“perfect strain for me in terms of everything. from the way it grows, to how it looks and smokes. grows like an indica plant with uniform branching from seed. fluffy but solid buds which are light green and give bag appeal. she smells like a strawberry I have but fruitier when opened up. the smoke is smooth and tastes like she smells. sweet and warm, earthy like, my cough still tastes like it. I get that warm feeling ...”"
