OG Strawberry
=============
flipndip187,https://www.leafly.com/hybrid/og-strawberry/reviews/1357718,"“Strawberry OG
(OG Kush x Strawberry Afghan) sry pics still crash the app for me
Looks:Well formed conic buds with a vibrant yellow tint and candy like red hairs sticking out. Lots of amber trichs, not your usual color scheme.
Smell/Taste: I was a little dissapointed that it diddnt have more of a strawberry smell, the OG used was citrus diesel leaning in flavor, and that shows in this cross but with a slight starwberr...”"
lindslemonhaze1,https://www.leafly.com/hybrid/og-strawberry/reviews/1318592,"“love the way this strain starts off so strongly in your head yet suddenly you realize you have a complete narcotic body buzz going on.  great smell and taste, very skunky aroma, and a berry taste. Got me high as a kite.  helped relax my very tight muscles in my back and gave me a great night's sleep.  I also found that it helped pique my creativity which is always a bonus. So - - good for pain, good for sleep, good f...”"
RaVeNBLAZE,https://www.leafly.com/hybrid/og-strawberry/reviews/1256734,"“Strawberry OG has a wonderful smell & taste. Defently one of the best fruity strains I've ever smoked”"
anonymous,https://www.leafly.com/hybrid/og-strawberry/reviews/1316388,"“Very nice and mellow. It is a "Smoke & Net Flix" kind of high. Worked perfectly for my spine pain and quieted the demons called PTSD.”"
purplehaze000,https://www.leafly.com/hybrid/og-strawberry/reviews/1351880,"“this is a really amazing strain- strawberry og is a uplifting hybrid with alot of the sativa qualitys. this rich heavy bodied smoke accompanies a sweet mild tropical flavour followed by a gentle relaxing head high but with a nice full body buzz- it's a fun strain to ease out tension and anxiety and stress and combats those feelings with an uplifting buzz but not to strong - followed by a nice smooth landing that won'...”"
hustler420xx,https://www.leafly.com/hybrid/og-strawberry/reviews/1195395,"“high as fuck”"
minarozilla,https://www.leafly.com/hybrid/og-strawberry/reviews/1218315,"“Wasn't super impressed with this strain. Smells sweet like you'd expect. Kind of made me sleepy and relaxed, made my head feel kinda heavy. I'd suggest this for before bed!”"
Austinhealey120,https://www.leafly.com/hybrid/og-strawberry/reviews/1498992,"“great fruity earthy flavor”"
Keiko287,https://www.leafly.com/hybrid/og-strawberry/reviews/1300081,"“great for a chill daytime. body and brain are functioning but I'm warm and relaxed. feeling creative,  not too sleepy and my head feels light and floaty.  great for watching movies or tv with complicated,  engaging story lines.”"
minarozilla,https://www.leafly.com/hybrid/og-strawberry/reviews/1218315,"“Wasn't super impressed with this strain. Smells sweet like you'd expect. Kind of made me sleepy and relaxed, made my head feel kinda heavy. I'd suggest this for before bed!”"
Ashlization85,https://www.leafly.com/hybrid/og-strawberry/reviews/1239039,"“definitely a great strain for muscle spasms.  I suffer restless legs and insomnia.  I do feel numb in my legs  but not as sleepy as I'd like to be.”"
nathanmontgomery,https://www.leafly.com/hybrid/og-strawberry/reviews/1281051,"“30% at silverstem”"
hustler420xx,https://www.leafly.com/hybrid/og-strawberry/reviews/1195001,"“amazing! !!!!! Best strain I have tried hands down. And I have a very high tolerance to a lot of meds”"
eazzie,https://www.leafly.com/hybrid/og-strawberry/reviews/1218540,"“really great strain goes down easy smoked it in the bukket prob gona sleep in”"
Austinhealey120,https://www.leafly.com/hybrid/og-strawberry/reviews/1498992,"“great fruity earthy flavor”"
Yourstonerbro,https://www.leafly.com/hybrid/og-strawberry/reviews/1265300,"“harsh but great flavor got really high then tired passed right out”"
XoticSeeds,https://www.leafly.com/hybrid/og-strawberry/reviews/1267744,"“We love the sweet aroma from Strawberry genetics and the large yield from the OG Strain.”"
Am0d22,https://www.leafly.com/hybrid/og-strawberry/reviews/1274265,"“best strain thus far! Great for PTSD and herniated disc with Sciatica. tastes great and smells refreshing.”"
Daniepenn,https://www.leafly.com/hybrid/og-strawberry/reviews/1643224,"“one of the best strains I have tried AMAZING!!!!”"
