Outer Space
=============
jlsscbs,https://www.leafly.com/sativa/outer-space/reviews/1386979,"“Great great great daytime smoke. Couple hits and you are in... well... Outerspace! This is a strong one and it didn't take much to send me into orbit to party with Major Tom. Seems to make everything outside a hell of lot more colorful and interesting. Certainly in my top 5... and I've plowed through quite a few strains now... 40+. Overall I would give this a 9++  Don't pass this one up if you like a good Sativa!”"
tonytnt,https://www.leafly.com/sativa/outer-space/reviews/1376149,"“My favorite strain of Marijuana is Green Crack. Unfortunately, no one in Illinois is growing Green Crack as of yet.  Outer Space has almost identical effects. I got off the couch, turn off the TV and actually started doing things around the house that i have been putting off for the past six months. I was tired, aggravated & in a bad mood. I had purchased a gram of Outer Space the day before from a Dispensary, so I d...”"
leroythefish,https://www.leafly.com/sativa/outer-space/reviews/1342651,"“Wasn't sure what to do with myself so I headed down to my favorite local dispensary to check the latest product arrival.  Happened upon some "Outer Space", promptly drove home and medicated.  When the flowers were separated and broken the scent they omitted was cyber-berry with hints of citrus in the backdrop (very nice).  In the back of my mind I thought: "It would be great to have the oil changed in the car..."  Mi...”"
trainwrekt,https://www.leafly.com/sativa/outer-space/reviews/1342650,"“Awesome Sativa! Psychedelic type of effect with great visuals (not to be mistaken with hallucinations).
Felt relaxed yet uplifted. A great daytime med yet not energized when compared to other sativas such as green crack.
I'm prone to anxiety on many strains yet this one had no such negative effect.  This is a must try!
I picked these flowers up at Fresh Baked Dispenary in Boulder,  CO (great chill vide with quality m...”"
msm0nster,https://www.leafly.com/sativa/outer-space/reviews/1342649,"“Outer Space is some of the best quality, best tasting, best high that i've had. It launches you to the moon, for sure. It makes you a little sleepy so it is great for after work/after dinner treat. Very sweet tasting, very floral. I heart you, OS.”"
kroniqtopus,https://www.leafly.com/sativa/outer-space/reviews/1412907,"“Another great strain by Silver Sage Wellness in Vegas. I. really like this one. For sativa lovers like me, this is a near perfect strain. It induces a happy, spacey head feel but is also great for pain relief. This is the strain I reach for when I want to be semi productive, like tinkering in my garden. Not a real focused high, I tend to die in video games while on Outer Space, but don't really care! Skunky sweet tas...”"
hatsuhi,https://www.leafly.com/sativa/outer-space/reviews/1589681,"“I’ve been trying to stay away from strong sativas lately, as I have noticed I get significantly anxious and don’t always receive the benefits from the high, but Outer Space is the best sativa I have had the pleasure of smoking to date. The high is powerful and true to its name, but I still feel engaged and comfortable around other people, no anxiety attached. It is truly an uplifting strain and while it can feel pote...”"
neptunechillwave,https://www.leafly.com/sativa/outer-space/reviews/1352913,"“It can be hard to find sincerely incredible sativas, but this strain stands out from the pack with its immensely strong and uplifting high. Truly puts you into outer space.”"
moonstar11187,https://www.leafly.com/sativa/outer-space/reviews/1387595,"“I'm basically an indica girl. I really enjoy the  heavy body high and it's really hard for me to find a sativa I like. Until now!! This is the best sativa I have ever had extremely uplifting, and a great strain for headaches. Does not contain that drag down couch feeling , will be able to function without a problem”"
hrisgirl,https://www.leafly.com/sativa/outer-space/reviews/1296292,"“Beautiful aroma that is light and airy. The sample I tasted was machine trimmed so flower was broken up into small pieces. Once lit, the aroma and taste held true to light and airy.  immediate cerebral effect but nice relaxing good for daytime use.  I have random anxiety attacks and this soothes those episodes quickly and quells them for quite a long time.  Very nice !”"
hellborndisease,https://www.leafly.com/sativa/outer-space/reviews/1681237,"“They just started distributing medical flower in my state of Pennsylvania. Bought an eighth of it from the dispensary. Cresco. High at the moment and has tuned into my new favorite strain. Which used to be Durban Poison. I'm awake, though definitely in outer space.”"
MyJokerHandStayLIT,https://www.leafly.com/sativa/outer-space/reviews/1660353,"“Outer space -2 puffs of the Cresco OuterSpace Pen-   instantly happier and feeling creative energy flowing. The juices are moving! You can fuel a more relaxing state of mind come over you while keeping a nice cerebral energy. No anxiety created in fact it helps destroy it! This review does not need to be much more I can be short and sweet. This strain is an easy happy creative energy euphoric strain that truly is goo...”"
darthfather427,https://www.leafly.com/sativa/outer-space/reviews/1387596,"“I was suffering a chron's outbreak.  I got this in a 5 pack of prerolls from cresco at greenhouse in Mokena for $65.  3 hits at a time for perfect harmony. not over doing it.  I didn't smoke it for the high so to speak.  gave me back my appetite and my spirit.  curbed my stomach pain as well.  smoked this under the stars and was at one with everything.  positive thoughts of healing.”"
Hendertucky,https://www.leafly.com/sativa/outer-space/reviews/1343255,"“Just as the name suggests you definitely space out. Nice strong head change that lasts longer than most strains, however, it is mostly felt in the body. Similar to Herijuna. Relieved the stress in my mind as well in my body. Great for those looking for a strong longer lasting stress and depression relief. Can be too strong for some. I would suggest for a novice user looking for a stronger strain. 

Strain from Silver...”"
CosmicAlphaVerse,https://www.leafly.com/sativa/outer-space/reviews/1061464,"“Nice. Well Done. Uplifting but not too energetic. Mellow and relaxed but not lethargic, and could still easily fall asleep.”"
1renz,https://www.leafly.com/sativa/outer-space/reviews/1155611,"“It's the weekend and I need to relax. This strain is heady but effects the whole body. I'm not feeling the pain but I notice the tingling (not offensive). Work is behind me now, stress is gone. I feel energized. Overall very good!”"
Lynes,https://www.leafly.com/sativa/outer-space/reviews/1387598,"“This has been the most effective strain and form of cannabis use for my Tourette's, depression, and anxiety. My mind reacts very intensely when I smoke and can become very uncomfortable. This strain keeps me upbeat, gives my mind a calm, peaceful and content energy and supply's a very minor buzz without the intensity ever becoming overwhelming or uncomfortable. My personal dose size is about a grain of rice twice a d...”"
g.kirk,https://www.leafly.com/sativa/outer-space/reviews/1267055,"“Strain was recommended by my budtender and he was absolutely right, this strain is awesome. The smell is a complex sour fruity scent mixed with an island breeze. The taste out of a vape is quite nice as well. Initially the effects were distracting so I just turned some Cudi on and went with it. After one or two songs I really did feel like I was in space. It's been about 30 mins since then and I'm back in control but...”"
brokenparachute,https://www.leafly.com/sativa/outer-space/reviews/1349599,"“Let me tell you a story, I hit this TWO times and I found myself in the shower excited about this review. The creative, uplifting and euphoric state that it leaves you in makes you Literally feel like you're space. This rivals Tangie but I may be swayed to this strain.”"
Biloobang,https://www.leafly.com/sativa/outer-space/reviews/1765674,"“This is the first time that I’ve ever considered writing a review. So let that be the review. :)”"
imhungry,https://www.leafly.com/sativa/outer-space/reviews/1215004,"“This strain is by far the best daytime high.  Opens the mind while still being able to function normally.  Really helped with headaches and neck pain.  It will also give you a bit of energy if you need a little boost.  And if you're sleepy, you can smoke a bowl before bed and sleep soundly.  Very good medicine.”"
BurninateDabs,https://www.leafly.com/sativa/outer-space/reviews/1711671,"“Got ahold of some actual shatter instead of just the cartridge, the taste is how I wish all of my medicine could taste. It's sweet & skunky.
I was fairly medicated after 3 dabs, for me that's pretty rare.  
Would definitely buy again”"
J-snow,https://www.leafly.com/sativa/outer-space/reviews/1804834,"“To Infinity, and Beyond !!”"
England61300,https://www.leafly.com/sativa/outer-space/reviews/1713629,"“Honestly my favorite strain of all time, nothing can beat it in my opinion.”"
NaturesWayMedicine,https://www.leafly.com/sativa/outer-space/reviews/1698108,"“With its noticable crystal trichomes and energizing effects, Outer Space is becoming a patient favorite. Patients who have tried this flower say its great for a number of things such as : chronic pain, arthritis, IBS, migraines, inflammation and even cancer. This flower can be found at Pennsylvania despensaries.”"
Chief1Each,https://www.leafly.com/sativa/outer-space/reviews/1387597,"“Great strain for pain and daytime use.”"
brandimcs,https://www.leafly.com/sativa/outer-space/reviews/1798428,"“Let me start by saying i have a huge list of symptoms, a high tolerance, and  many diagnosis', both mental and physical.  Ive been trying many strains to treat the most severe symptoms including chronic nerve pain, fibromyalgea, anxiety, ptsd, depression.  This sativa strain is one of the few that doesnt make my nerves more aggravated and my anxiety stays away from edginess.  It is a perfect medical daytime strain. I...”"
collier920,https://www.leafly.com/sativa/outer-space/reviews/1168501,"“this is my favorite sativa”"
MrMythDragon,https://www.leafly.com/sativa/outer-space/reviews/1696254,"“Probably one of the best strains I have ever used personally. It has a real euphoric, 2001 a Space Odyssey trip, especially if you're into a good movie or game about 15 minutes after you smoke. Calms the nerves like old Gandalf says. 
Note: it has a high THC KICK”"
J-snow,https://www.leafly.com/sativa/outer-space/reviews/1804834,"“To Infinity, and Beyond !!”"
thelandofsteadyhabits,https://www.leafly.com/sativa/outer-space/reviews/1516107,"“Don’t let the name fool you as this strain while hazy does bring on a sharp focus for creativity and mindfulness. Aroma is very sweet and the exhale is smooth coated with undertones of berry. 

Cerebral with a drive for pondering the unknown. Again very focussed but with a hazy attitude. All around perfect for a rainy day. Enjoy.”"
England61300,https://www.leafly.com/sativa/outer-space/reviews/1713629,"“Honestly my favorite strain of all time, nothing can beat it in my opinion.”"
Chief1Each,https://www.leafly.com/sativa/outer-space/reviews/1387597,"“Great strain for pain and daytime use.”"
DarkRift,https://www.leafly.com/sativa/outer-space/reviews/1383161,"“Another great strain here my friends.  A to A+

I'm leaning more towards the pure sativa strains right now. Also enjoy mixing the strains for a unique experience..”"
Kitten5309,https://www.leafly.com/sativa/outer-space/reviews/1387599,"“Just tried this in a wax and it was amazing! I felt energetic and giggly and chatty. Great for social gatherings.”"
robmorales,https://www.leafly.com/sativa/outer-space/reviews/1270168,"“Really makes you feel like taking off into space. More of a head uplifting feeling and focus.”"
RenzoKush,https://www.leafly.com/sativa/outer-space/reviews/1290100,"“Perfect strain for people who want to go out with friends but also a good selection to chill with some music also with people around you. Not a long high but a quality one. Outer Space is just as its name sais.”"
thelandofsteadyhabits,https://www.leafly.com/sativa/outer-space/reviews/1516107,"“Don’t let the name fool you as this strain while hazy does bring on a sharp focus for creativity and mindfulness. Aroma is very sweet and the exhale is smooth coated with undertones of berry. 

Cerebral with a drive for pondering the unknown. Again very focussed but with a hazy attitude. All around perfect for a rainy day. Enjoy.”"
crazelove,https://www.leafly.com/sativa/outer-space/reviews/1317605,"“Creeps up on you. Positive thinking, happy, creative. Doesn't seem very potent but it's a very functional high.”"
jahrican,https://www.leafly.com/sativa/outer-space/reviews/1266560,"“Get ready to beam up! I only smoke sativas and this is one of the best I've had. Perfect for creativity 👽”"
MtViews,https://www.leafly.com/sativa/outer-space/reviews/1415648,"“I must be an oddball because I think it's super strong. After two hits 20 minutes later... I was glued to the couch. My body was radiating like a 100 wt light bulb (in a good way) Not what I was expecting for a Sativa. This is better suited for listening to music or watching a movie.”"
NoRobo,https://www.leafly.com/sativa/outer-space/reviews/1175178,"“Great wake and bake. It has a fast onset with a smooth transition to a peacful feeling. Not much for flavor, it is smooth though. The smell is something I would think outer space smells like. A very deep smell that brings you back to the jar a few more times. I would recommend this for someone feeling down or stressed.”"
DoryTheTang,https://www.leafly.com/sativa/outer-space/reviews/1361701,"“Personal favorite!! Yummy, and smooth. Really good strain to puff on and clean with. Really helps get stuff done!”"
Doodle-Oop,https://www.leafly.com/sativa/outer-space/reviews/1643874,"“I really like Cresco's Sativa's, this is at least the 4th or 5th strain I've tried by them, I gotta say I really enjoy the high of Outer Space, it leaves me feeling clear and euphoric at the same time, for me, I'm more talkative and thoughtful as well. It's has a nice even blend and leaves me feeling extremely comfortable.”"
sryismokealot,https://www.leafly.com/sativa/outer-space/reviews/1199272,"“The strains name speaks for itself”"
panheadfreak,https://www.leafly.com/sativa/outer-space/reviews/1251745,"“A great daytime strain, lifts you up & helps the spinal pain , Helps lift you up & gets you going”"
BobbyBluBlan,https://www.leafly.com/sativa/outer-space/reviews/1387654,"“normally I am not a sativa person due to my anxiety but I like this strain I get the heady feeling but mostly feels like a uplifting blanket of relief great I have things to do strain but if I wanted to be a couch potato I could top 5 strains easy”"
tommystoned,https://www.leafly.com/sativa/outer-space/reviews/1339090,"“Made me a little paranoid but was fucking awsome other than that”"
dubabud,https://www.leafly.com/sativa/outer-space/reviews/1261775,"“one of the smoothest strains I've ever tasted. Definitely a solid strain”"
TuffDreamer18,https://www.leafly.com/sativa/outer-space/reviews/1506797,"“Excellent daytime strain. It is very potent. Dont need too much of it to get me going while easing pain. Nice head high.”"
Mack222n,https://www.leafly.com/sativa/outer-space/reviews/1131132,"“Tastiest weed I have ever had”"
udellshelby,https://www.leafly.com/sativa/outer-space/reviews/1557697,"“Phenomenal! I tried this strain last night, and I felt euphoric and energetic and engaged and happy and excited, while also managing to be calm and relaxed. Me and my boyf made it to the bedroom and it also made me eager to try new things and be loose and fun. When I closed my eyes it felt like I was riding a wave. 
Absolutely love this strain and I’m excited to try it again.”"
rynovain,https://www.leafly.com/sativa/outer-space/reviews/1253259,"“Got some decent outdoor nugs.  Big nugs taste a bit earthy but overall nice quick buzz.  One of the better dirt plants Ive burned. doesnt take much to go to outer spcae with this one”"
RufusTBarleysheath,https://www.leafly.com/sativa/outer-space/reviews/1152402,"“Outer space has a citrus smell to it.  I don't know if anyone else has experienced this, but it really opens up my nasal passages.  It's a similar sensation to when you sniff something peppery or spicy and sometimes it makes me sneeze.  That weird detail aside, I really like this strain.  I feel really chatty and energetic and can be productive, which is awesome.”"
peegreen,https://www.leafly.com/sativa/outer-space/reviews/1440490,"“The high comes on fast and hard, definitely a good choice if you want to do something that requires focus. Just dont try to focus on TWO things, a little confusion comes along with the rush on this one.”"
Reno420Sparks,https://www.leafly.com/sativa/outer-space/reviews/1505295,"“Smells like cheese! But is a very good hybrid”"
StoneApe,https://www.leafly.com/sativa/outer-space/reviews/1287099,"“I am not a heavy smoker so I have been trying various strains to find something with a good balance of calming without making me paranoid or too drowsy.  This strain, for me, was the perfect one. I'm very happy with it!”"
hedgefund808,https://www.leafly.com/sativa/outer-space/reviews/1290663,"“A clean clear cerebral high. Good for early risers and frequent day time users. Not particularly one of my favorites. No strong flavor profiles stand out to me. 3 stars.”"
