Purple Bush
=============
MedicalIncredible,https://www.leafly.com/indica/purple-bush/reviews/1237904,"“Flower Report: 
Beyond DENSE Buds

Doesn't smell like Weed Bro, Smells Sweet like Fruit 

Grinder Breakup inexplicably turns into Moon Dust ???

Greens Inhale is a "All grows up"/Big Boy Pants/Don't Die Powerful Thick Circus Tricks amount of smoke obvious to me, dry, super smokey thick, Indica hit 

Another magic trick is how quickly it burns grrrrr 
It starts out like concrete, it grinds to dust, then it burns too q...”"
atomictarot,https://www.leafly.com/indica/purple-bush/reviews/1306760,"“I love the way this strain tastes, so much. The leaf burns smooth even on big pulls. Purple Bush has a distinct finishing flavor, like a blend of ripe red berries. Gives me slight tingles and a mellow body high. It's heavy on the indica side but not a complete couch-melter. I work in a creative field and a couple of hits gets me going good in the studio, if I want to clock out I just add a few more hits and read abou...”"
Jrullman,https://www.leafly.com/indica/purple-bush/reviews/1309463,"“Besides some bubble gum i tried in 98', this was one of the hands down- BEST tasting buds I ever had the privilege of trying👌🏻 Great stone amazing old school Indica feeling :) bought this ,some blueberry dream, blackberry blueberry x alien inferno- smoked raw cones at ibake was great vibes :)”"
gamey101,https://www.leafly.com/indica/purple-bush/reviews/1316040,"“Got a quater of the flower. Really great and fruity tasting. Smoked a 2 gram joint was couch locked for like hours. Really recommend getting atleast a gram to experience a really high quality bud .”"
revcoon,https://www.leafly.com/indica/purple-bush/reviews/1222952,"“great strain couldnt ask for more snoop always did know his green and this shows it will but and recommend to everyone I know taste is amazing with a dense bud sweet smell and amazing high keep up the good work”"
MedicalIncredible,https://www.leafly.com/indica/purple-bush/reviews/1223015,"“Very DENSE buds 
Light green 
Frosty 
Not actually purple lol 
Woody and skunky smelling 
Awesome”"
happyaspie,https://www.leafly.com/indica/purple-bush/reviews/1248176,"“tasty”"
torsioncontrol,https://www.leafly.com/indica/purple-bush/reviews/1396819,"“really intense very chill sedating qualities,, nagical components should try for sure”"
nativeaquaponics,https://www.leafly.com/indica/purple-bush/reviews/1308164,"“Great taste, and heavy body high. Slept like a baby.”"
Brudini,https://www.leafly.com/indica/purple-bush/reviews/1729103,"“big bulky buds
thick skunky smoke
couch lock 
new fav”"
timcat917,https://www.leafly.com/indica/purple-bush/reviews/1302694,"“awesome, and it's by Snoop...”"
arctrooperecho,https://www.leafly.com/indica/purple-bush/reviews/1244353,"“This is a next-level weed experience for any smoker. Get this. Seriously, GET THIS! One gram can go a while. Very impressed. Getting more tomorrow.”"
themodernmountainman,https://www.leafly.com/indica/purple-bush/reviews/1300908,"“Maybe I got an older round of this but it wasn't super impressive. It was a decent tasting mediocre effecting strain for me. It's a light feeling indicia dominate that was Mildly relaxing.”"
Treptow,https://www.leafly.com/indica/purple-bush/reviews/1225508,"“Best part was the color contrast between the purples, green and orange hairs. The high was great. Pretty heavy body high with happy couch lock. It is some great fire especially for that cognagive zone out and heavy body feeling. Taste was pungent, earthy and a pretty heavy hint of fruit. Enjoy.”"
