Sharksbreath
=============
KimikoKronic420,https://www.leafly.com/hybrid/sharks-breath/reviews/1413272,"“I was like,"lemme hit that. Tryin to get faded, son." And then babygirl was like,"Don't call me son." Then upon toke on this fantastic strain, I experienced a moderate "classic high" with a lot of deep relaxation similar to a really expensive ass shiatsu massage afterglow. Got a little thirsty but didn't want to move. Asked bae to bring up some water and got my hydrate on. Apologized to babygirl for calling her "son....”"
smokey101,https://www.leafly.com/hybrid/sharks-breath/reviews/1327907,"“I really liked this stuff i have depression and anxiety and this stuff helped me alot!!”"
xweednear,https://www.leafly.com/hybrid/sharks-breath/reviews/1353704,"“Im wrinting while im High. Shark breath is cool is like a lil explosion in the beginning but then it gets you mellow...You get that dry sensation in the eyes but is like if you were a little girl watching punnies and rainbow and bright grassland  but with a mellow sensation of hush stunned overwhelmed astonish shocked because of the bright grassland (not literally... Maybe) lol... is cool should try”"
Anonymous,https://www.leafly.com/hybrid/sharks-breath/reviews/1324449,"“DNA Genetics has created this award-winning strain by crossing Great White Shark and Jamaican Lambsbread (said to be Bob Marley´s favourite ganja).

These frosty, yellow/green buds have a sweet and sour earthy nose. Giving the buds a squeeze & sniff yields more pungent, candied fruit.

As you would expect from it's great parentage, the smoke is solidly potent with amazing taste and flavour. It burns clean and is ...”"
reefcheif94,https://www.leafly.com/hybrid/sharks-breath/reviews/1260218,"“honestly its my favorite strain had a migrain for the first time in months couple hits of sharks brearth gone i felt grate and was able to fall asleep. woke up feeling grate (couple more hits) feelin even grater!”"
CrossM,https://www.leafly.com/hybrid/sharks-breath/reviews/1212758,"“First strain in over 3 years to actually work its magic on my particular symptoms. Alert, energetic, uplifted, and "ready to tackle the day" never described something so perfectly as this strain's affects. 

Highly recommended to combat veterans and others with PTSD. I feel happy for the first time in years after one bowl of this flower.”"
hoobear,https://www.leafly.com/hybrid/sharks-breath/reviews/1276736,"“This strain shows the clear influence of its very opposite parents. There is a very nice relaxing body to this buzz but there's an even greater floaty and happy head high. I find it quite easy to be socially engaged and I'm also quite clear headed. I very much recommend Sharksbreath for almost any activity or time or day. A perfect balance and a great time.”"
Rabbithole,https://www.leafly.com/hybrid/sharks-breath/reviews/1073666,"“Very mellow, calm, laid back, great for watching a movie or tv. listening to music. I took it for sleep and it helped with sleep quite a bit. I would save this for evening. Also good for getting that "loving feeling".

This strain has very little smell and the smoke is pretty mild in flavor and smell. The high hits you right of the bat in head and body alike.”"
SirKush,https://www.leafly.com/hybrid/sharks-breath/reviews/1073675,"“I have to say im quite impressed with this strain because i feel very happy and i can still think and still feel high and relieved and it helps me sleep a bit”"
Rabbithole,https://www.leafly.com/hybrid/sharks-breath/reviews/1073666,"“Very mellow, calm, laid back, great for watching a movie or tv. listening to music. I took it for sleep and it helped with sleep quite a bit. I would save this for evening. Also good for getting that "loving feeling".

This strain has very little smell and the smoke is pretty mild in flavor and smell. The high hits you right of the bat in head and body alike.”"
bongrippah,https://www.leafly.com/hybrid/sharks-breath/reviews/1144029,"“Sour, dry, heavy hitting. This is a good functioning head high, I use it to relax but not get fucked up, easy to work on it, just an all around comfortable and happy high.”"
ragoaway,https://www.leafly.com/hybrid/sharks-breath/reviews/1073673,"“I praise the man who blended it, it works for me. almost perfect.”"
MR.JJ,https://www.leafly.com/hybrid/sharks-breath/reviews/1707947,"“Sharksbreath is from deep blue sea obyess with deep earthy piney flavor and dark coral nugs with strain is for sea lovers 🐟”"
BOBSAGETOG,https://www.leafly.com/hybrid/sharks-breath/reviews/1073669,"“Good As Helllllllllll”"
beautys1tragedy,https://www.leafly.com/hybrid/sharks-breath/reviews/1241423,"“This is a strain I hate to love. The smell is somewhat offsetting and sour and the flavor is very unique. I do like that it doesn't linger after smoking a bowl however and the high is fantastic!!! I felt happy and super relaxed. It's becoming my new favorite for ending a long day. The pros far outweigh my con's. 💚”"
pankaj.surve,https://www.leafly.com/hybrid/sharks-breath/reviews/1192239,"“Good”"
Dimedude,https://www.leafly.com/hybrid/sharks-breath/reviews/1144030,"“Been a while since I tried this, but I remember it giving a really nice and easy going high.  Had an interesting smell and taste to it.  Would love to try it again at some point.”"
BOBSAGETOG,https://www.leafly.com/hybrid/sharks-breath/reviews/1073669,"“Good As Helllllllllll”"
pankaj.surve,https://www.leafly.com/hybrid/sharks-breath/reviews/1192239,"“Good”"
Singlese,https://www.leafly.com/hybrid/sharks-breath/reviews/1073674,"“One of more unique smelling strains I've tried. Very mellow "summer-eve-sunset walk" is what I experienced.”"
ragoaway,https://www.leafly.com/hybrid/sharks-breath/reviews/1073673,"“I praise the man who blended it, it works for me. almost perfect.”"
MR.JJ,https://www.leafly.com/hybrid/sharks-breath/reviews/1707947,"“Sharksbreath is from deep blue sea obyess with deep earthy piney flavor and dark coral nugs with strain is for sea lovers 🐟”"
kushywizard16,https://www.leafly.com/hybrid/sharks-breath/reviews/1484573,"“The flavor on this Sharksbreath is Outstanding!
This Sharksbreath is a pretty unique strain. After consumption you can note right away that the medicine is a indica dominant hybrid. relaxed, happy, uplifted, focused, and a heavy handed euphoric feeling.”"
dopesmoke79,https://www.leafly.com/hybrid/sharks-breath/reviews/1073684,"“Smoke this and you'll laugh your ass off unless you are watching a movie or playing a game, then your very quiet. I had an awesome time with this.”"
kushywizard16,https://www.leafly.com/hybrid/sharks-breath/reviews/1484573,"“The flavor on this Sharksbreath is Outstanding!
This Sharksbreath is a pretty unique strain. After consumption you can note right away that the medicine is a indica dominant hybrid. relaxed, happy, uplifted, focused, and a heavy handed euphoric feeling.”"
gypsyheadband,https://www.leafly.com/hybrid/sharks-breath/reviews/1227136,"“awasome head buzz.”"
dopesmoke79,https://www.leafly.com/hybrid/sharks-breath/reviews/1073684,"“Smoke this and you'll laugh your ass off unless you are watching a movie or playing a game, then your very quiet. I had an awesome time with this.”"
StateofMorgan,https://www.leafly.com/hybrid/sharks-breath/reviews/1386145,"“Maybe not a staple, but definitely a favorite. Super chill. Tamped down my anxiety and quashed my depression. I was feeling kind of lousy, and Sharksbreath made it so much better. I remain mentally and verbally articulate, gentle body high, kinda munchie. This stuff isn't flashy, so sometimes I'm a little bowled over by how wonderful it is. Definitely recommend.”"
freudianhip,https://www.leafly.com/hybrid/sharks-breath/reviews/1715095,"“Likes
50/50
Alert
Relaxed
G jp strong high
Senses heightened eating”"
Benitocasas,https://www.leafly.com/hybrid/sharks-breath/reviews/1222238,"“One dab of the Sharksbreath is an instant head Change”"
fatmike600,https://www.leafly.com/hybrid/sharks-breath/reviews/1262709,"“best smoke around for the money”"
