Silver Bubble
=============
djb3v,https://www.leafly.com/hybrid/silver-bubble/reviews/1378539,"“Picked this up in Dam and was in the top 3 smokes of the weekend. Really enjoyable happy, mellowing stone. Looks great (tight, dark nugs) smells great and doesn't empty the wallet like some strains out there. Awesome. Definitely a go to strain.”"
Hazekushlover29,https://www.leafly.com/hybrid/silver-bubble/reviews/1370212,"“Really sweet sleepy high considering it has haze and northern lights in there, though this is some of the next gen of haze reminded me of bubblegum were most haze reminds me of lemon/lime. Definitely recommend this to regular smokers.”"
Danesausage,https://www.leafly.com/hybrid/silver-bubble/reviews/1392608,"“Nice High. Gives a good medical and gives you the oppertunity to smake all night long and still wake up fresh!”"
Ragston,https://www.leafly.com/hybrid/silver-bubble/reviews/1378504,"“Smells like Starburst, really strong high overall amazing strain :)”"
MrVV,https://www.leafly.com/hybrid/silver-bubble/reviews/1378505,"“Silver bubble is a strain that will mark you for life. From the sweet smell, to the powerful uplifting buzz, this strain will quickly become a staple in your medicine cabinet. Smoking a silver bubble joint Is akin to being strapped into a satin saddle attached to a rocket ship. Also, the concept of time goes the way of the dodo bird. Enjoy responsibly.”"
Saturniel,https://www.leafly.com/hybrid/silver-bubble/reviews/1378503,"“I know what most people think about the less expensive buds available. However I've found Silver Bubble to be an excellent and uplifting high. You can relax as it takes your mind on a fun creative high.”"
Jupi6,https://www.leafly.com/hybrid/silver-bubble/reviews/1159672,"“Ne sà”"
Christmasreefer,https://www.leafly.com/hybrid/silver-bubble/reviews/1378478,"“By far the tastiest strain I have ever smoked. I would definitely use this strain if I was having back pain, headaches or if you just want to have some fun with a couple of buddies. Can't wait to get my hands on some more of this stuff great uplifting high”"
Christmasreefer,https://www.leafly.com/hybrid/silver-bubble/reviews/1378478,"“By far the tastiest strain I have ever smoked. I would definitely use this strain if I was having back pain, headaches or if you just want to have some fun with a couple of buddies. Can't wait to get my hands on some more of this stuff great uplifting high”"
renejunior,https://www.leafly.com/hybrid/silver-bubble/reviews/1378508,"“Leaves me relaxed, hapoy and still energetic and clear high. No stoned body. Aroused me. Lovely sweet taste, really my favorite.”"
MichelTheMan,https://www.leafly.com/hybrid/silver-bubble/reviews/1378511,"“My new favorite strain! Super nice sativa high which gave me the giggles. 
Shout out to Grey Area, best coffeshop in the world!”"
Laffitz,https://www.leafly.com/hybrid/silver-bubble/reviews/1556605,"“I picked up some flower of this strain after the owner of the dispensary told me "Yea, this is usually what I suggest to people who are looking for something really strong". And after I went home & smoked this wonderful flower, I was not disappointed! Maybe a bit of a creeper, but once she hits you, you'll be thrown for a loop! Along with the heavy effects, I was still functional/up and about, but maybe not excited a...”"
chupadroops,https://www.leafly.com/hybrid/silver-bubble/reviews/1378507,"“mixed high”"
emeryweed,https://www.leafly.com/hybrid/silver-bubble/reviews/1378506,"“wonderful...I'm soo relaxed at the moment.  I'm yawning ready to sleep through the night all night hopefully!”"
hintofkizzle,https://www.leafly.com/hybrid/silver-bubble/reviews/1271905,"“Very enjoyable and relaxing. I have some social anxieties and this helped me be relaxed at a party. If you like Ewok, you'll really like Silver Bubble!”"
JackFlash92,https://www.leafly.com/hybrid/silver-bubble/reviews/1378509,"“Wow!! Lovely haze tasting weed that gives you an almost instant high a deep thoughtful wave while smoking followed by a nice chilled relaxing high. Got munchies with this strain and when relaxing got a full body tingle which was amazing... NOT a beginners weed 5/5”"
renejunior,https://www.leafly.com/hybrid/silver-bubble/reviews/1378508,"“Leaves me relaxed, hapoy and still energetic and clear high. No stoned body. Aroused me. Lovely sweet taste, really my favorite.”"
Drunvalo420,https://www.leafly.com/hybrid/silver-bubble/reviews/1392696,"“Great affordable smoke, one of the best lower tier ones I have to say. Really relaxing high that is also super playful,”"
DPWHUFC,https://www.leafly.com/hybrid/silver-bubble/reviews/1284551,"“My favourite strain.”"
amnesia420,https://www.leafly.com/hybrid/silver-bubble/reviews/1372809,"“The strain genetics of silver bubble are known as super silver haze crossed with bubblegum.. the flavour resembles bubblegum with a hazey edge to it.. highly recommend this strain especially from the grey area in Amsterdam.. Upbeat high with a indica balance from the bubblegum.”"
ghosttrainboss,https://www.leafly.com/hybrid/silver-bubble/reviews/1304415,"“felt a short lasting buzz but this strain has a  long lasting creative feeling, brought many thoughts to mind that I couldn't of thought of before”"
ChedHead,https://www.leafly.com/hybrid/silver-bubble/reviews/1206841,"“Strong and sweet smells, covered in crystals! Recommend this to all lovers of green.”"
louiswain,https://www.leafly.com/hybrid/silver-bubble/reviews/1385216,"“Possibly the best high I've had”"
MertleTheTurtle,https://www.leafly.com/hybrid/silver-bubble/reviews/1241691,"“An overall fantastic strain. Smells like bubble gum and has a nice sweet and citrusy flavor to match. Perfect for heightening your mood or if you have trouble eating. Just imagine a night spent laughing at stupid shit with pizza sauce all over your face.”"
D4NNY420,https://www.leafly.com/hybrid/silver-bubble/reviews/1499783,"“This strain is very sweet and you can really taste it on the exhale. Nice mellow high.”"
freddyK8,https://www.leafly.com/hybrid/silver-bubble/reviews/1375520,"“Silver bubble is one of my faviourte strains and this one is a perfect example to use for my review. Start of on visual the Silver Bubble is a beautiful bud with lots of crystals coating it, brown hairs coming out it is a dense bud but will bounce back after squeeze. The smell is amazing fruity almost like a exotic smell, ground up the weeds smell potency increases and tips out of the grinder nice not straight off bu...”"
LPad421,https://www.leafly.com/hybrid/silver-bubble/reviews/1775400,"“Silver Bubble was the best strain I saw in all of the coffee shops in Amsterdam! Picked up a couple grams at the Grey Area. Top notch! If on the menu when you are there, this strain is worth a look. Old school classic!”"
bangersmash1,https://www.leafly.com/hybrid/silver-bubble/reviews/1736720,"“Amazing! I've gone to Amsterdam from Vancouver 4 times now, only for this one strain. I suggest everyone go to Amsterdam. This strain alone is worth the trip from any corner of the world. We need this here in Canada.”"
tornadoze,https://www.leafly.com/hybrid/silver-bubble/reviews/1314215,"“Great lemony fresh flavour. Definitely feel the euphoric and uplifted!”"
imwrecked12345,https://www.leafly.com/hybrid/silver-bubble/reviews/1378510,"“Silver bubble, the weed that killed me. 
Amazing to smoke, very smooth and a very hazey taste. Got complete body tingle and then was couch locked which is when I felt dead. Was just so relaxed and got unreal body tingle that made me feel the most relaxed I've ever been. 
Got extreme dry eyes, and dry mouth. 
Also a little paranoid and very thoughtful. Amazing strain 5/5”"
weststoner,https://www.leafly.com/hybrid/silver-bubble/reviews/1528796,"“this strain hit me hard and ate me alive, i thought i was going to fly away, but seriously when I got it i thought my dealer played me with semi dry crumble, and my fears where corrected when I started smoking it, it had a grass texture to it. questioning my thoughts to this is hemp, but not was i wrong, i feel like I'm out of my body and ready to do anything but i also want to lay down and watch a movie with a large...”"
Ceez100,https://www.leafly.com/hybrid/silver-bubble/reviews/1608464,"“Stil top shelf stuff calm high raw bud n smoking smells fruity im sensein a haze high flowery smell got giggles n hungry🤔 rate 4.5”"
Issa.Daan,https://www.leafly.com/hybrid/silver-bubble/reviews/1771044,"“I had a real nice space on this strain. After not smoking for a week my legs felt like rubber and I had the idea that I was climbing a giant staircase in the sky. And every time I bumped in my friend I got sucked back to reality.
Real nice!, but this only happened 20% of smoking the strain. Also Silver Bubble is very good in a cocktail with Ketama Hash”"
Jessikwa007,https://www.leafly.com/hybrid/silver-bubble/reviews/1712389,"“very relaxing, helps with stress and anxiety. lifts my mood and calms me. nice high.”"
Sempervirens_206,https://www.leafly.com/hybrid/silver-bubble/reviews/1350203,"“Very strong overall mental and body buzz.”"
CBDDAN,https://www.leafly.com/hybrid/silver-bubble/reviews/1463427,"“So many crystals ! Sticky & smelly, uplifting high. Purchased from @GreyArea in Amsterdam, highly recommend it.”"
Dorelli420,https://www.leafly.com/hybrid/silver-bubble/reviews/1237118,"“One of The best weed in Amsterdam sito a  sweet taste of bobble and very strong high.  Buyed in Grey Area”"
kiefbombs,https://www.leafly.com/hybrid/silver-bubble/reviews/1379051,"“Superb smoke, buds are dense and pungent with a sweet aroma, even more so when cured in jars the sweet smell intensifies.

This is the perfect strain which allows you to benefit from both the sativa & Indica lineages found in this hybrid, if you require an uplifting, energetic smoke or a kick back and relax type of smoke this allows you the best of both worlds!

The taste isn't as intense as the smell, but you get th...”"
flipndip187,https://www.leafly.com/hybrid/silver-bubble/reviews/1243092,"“Silver Bubble Shatter
Look: Tiny square chunks, a nice milky color yellow color to it, perfect consistency.
Smell/Taste: Heavy hazeyness mixed with sandlewood and a berry/fruityness,definetly hits your lungs hard.
Effects: I found this to be sorta like blue dream with a differnt flavor. I enjoyed this slightly more honestly, a little more spacey and super mellowing. Had me content to stare at the stars for 30+ mins w...”"
rotjoch,https://www.leafly.com/hybrid/silver-bubble/reviews/1265720,"“Gets you medicated for a long time”"
highdere,https://www.leafly.com/hybrid/silver-bubble/reviews/1333938,"“Amazing high like nothing else before. Experienced it at the Grey Area cafe in Amsterdam. I walked the town non stop for 5 hours plus before I realized how high I had been. Almost like a positive drunk, happy but energized state w none of the stuttering and imbalance issues. I was alone in Amsterdam on a very cold couple of nights. This strain made the entire experience worth doing it repeatedly. A must experience St...”"
PhysicsNerd8,https://www.leafly.com/hybrid/silver-bubble/reviews/1350421,"“sleepy strain that keeps your head mildly buzzing, made me feel awkward in conversations”"
dockersdank,https://www.leafly.com/hybrid/silver-bubble/reviews/1258600,"“Smells lovely and zesty, looks crystally and tight nugs, doesn't taste amazing imo.
Felt talkative, positive and still had a lot of energy, didn't feel too hungry either which I liked. Causes bad dry mouth, so I'd have a drink to hand!”"
MayhemJenn,https://www.leafly.com/hybrid/silver-bubble/reviews/1262467,"“Amazeballs”"
