Wellness OG
=============
joeydev,https://www.leafly.com/hybrid/wellness-og/reviews/1374631,"“My everyday smoke and I feel lucky for that..  Works beautifully as an anxiety killer and actually gives an amazing body high as well. Not couch locked though, quite the opposite. I feel happy, relaxed, and downright at peace with the Mega Wellness OG. I am blessed living in studio city and having direct access to THE WEED, studio city. I do not work there nor have any relations with anyone whom does. No kickbacks he...”"
John18,https://www.leafly.com/hybrid/wellness-og/reviews/1386992,"“Hello friendly people. I smoked 1/2 of a joint of Wellness Og 10 minutes ago. I have gathered my wits about me, after a furious blast of THC that was quite pleasant, but I'm glad I wasn't operating heavy equipment for that initial liftoff.  Steady as she goes now though.  Ready to take control of this spacecraft and make corrective action if necessary.
I wrote a very short evaluation of Wellness Og three or four mont...”"
ogkushlvr,https://www.leafly.com/hybrid/wellness-og/reviews/1370573,"“I don't know if it is the same strain, but picked up Megawellness Og from Greenwolf in Los Feliz, and it is a must try. you'll start questioning your tolerance because it hits quickly and HARD. Beginners be careful, shit,  veterans be careful. Lives up to the hype, watch.”"
ahrenberger25,https://www.leafly.com/hybrid/wellness-og/reviews/1369268,"“I'm an Indica guy myself, so this is one hell of a badass head-high with just enough body action to keep me comfortable. VERY STRONG, piney and hash flavors. Off-the-charts potency, not for beginners!

Feels a lot like smoking concentrate, with all the gaps filled in. Truly award-winning.”"
JediForce,https://www.leafly.com/hybrid/wellness-og/reviews/1305753,"“What a great tasting smoke!  Smooooth!  I got a nice head high followed by a full body buzz and lasted for hours!”"
BaronOfBud,https://www.leafly.com/hybrid/wellness-og/reviews/1191430,"“Sativa-dominant cup winning hybrid from The WEED in Studio City, kind of a creep but hits hard with crushing euphoria and a dream-like state, like being caught in a state of half-consciousness. Covered in trichomes and very heavy.”"
JOHNNYBL8ZE503,https://www.leafly.com/hybrid/wellness-og/reviews/1411146,"“The Wellness OG does give off that piney, kushy, just lovely aroma & is quite strong in effects. But not a total "couch lock" it is a very "happy" type strain for me anyways. It just gives me that warm, overall good feeling that good cannabis gives me (especially OG). Nice dense buds too & just like the description says it is sticky & my sample was completely CAKED in trichomes. Definitely a strain to pick up if u se...”"
WayOutWest,https://www.leafly.com/hybrid/wellness-og/reviews/1369284,"“As other reviewers have noted, this right here is the real deal.

Smell: louder than Neil Young's Crazy Horse rig feeding back inside the grand canyon.

Flavor: Pillowy puffs of pine and fuel finish with a Sprite/7Up tingle of sweetness of the lips.

Effects: one hit launches you skyward, like one of those catapult rides outside a gaudy Vegas hotel. After liftoff evens out, expect a super relaxing body buzz that numb...”"
WayOutWest,https://www.leafly.com/hybrid/wellness-og/reviews/1369284,"“As other reviewers have noted, this right here is the real deal.

Smell: louder than Neil Young's Crazy Horse rig feeding back inside the grand canyon.

Flavor: Pillowy puffs of pine and fuel finish with a Sprite/7Up tingle of sweetness of the lips.

Effects: one hit launches you skyward, like one of those catapult rides outside a gaudy Vegas hotel. After liftoff evens out, expect a super relaxing body buzz that numb...”"
xTRBx,https://www.leafly.com/hybrid/wellness-og/reviews/1273283,"“Amazing uplifting euphoria 
Great for mornings, almost like my morning coffee. Very energizing”"
cpierce0422,https://www.leafly.com/hybrid/wellness-og/reviews/1263294,"“So far so good. Super happy. Sky is vibrant. I posted the same pic and caption twice on here because I forgot immediately after I did it. The people that review the pics probably get that a lot, though. Also pretty chatty at the moment. I think it took me an hour to write this, but I can't be sure.”"
crucialj88,https://www.leafly.com/hybrid/wellness-og/reviews/1273818,"“BY FAR THE BEST OG STRAIN EVER....AT NOHO'S FINEST THEY SAY ITS 33 PERCENT THOUGH OTHERS HAVE SAID 35 PERCENT THC INDICA CONTENT....BASICALLY GET THIS IF YOU CAN AND FEEL SPECIAL!”"
ramosguy58,https://www.leafly.com/hybrid/wellness-og/reviews/1252279,"“this strain is really good . i got it from some shop by western and washington. close to chinatown. this is some kill!!!! it puts me in a very creative, energetic mood. 👍👍”"
Thankful1,https://www.leafly.com/hybrid/wellness-og/reviews/1331533,"“My favorite flower. Wellness is such an appropriate name. Great piney flavor and aroma! This super sticky strain really helps my focus. It's great for relieving body aches and anxiety. Strong flower. A+ Blessed to have this medicine available to me!”"
Paperplane08,https://www.leafly.com/hybrid/wellness-og/reviews/1185758,"“Pick this up at the WEED in Studio city, this is some bomb og. 
Wouldn't mind smoking this my whole life.”"
BaronOfBud,https://www.leafly.com/hybrid/wellness-og/reviews/1227244,"“The popcorn structured nugs of this strain are compact, but not overly dense, with darker green coloring, and an abundance of hidden trichomes. The trichs themselves are hidden within the compact nugs, but once broken open you can see the intricate trichomes structure within. The aroma is an INTENSE lemon diesel fuel scent with a sweet twist to it, with the flavor leaning heavily towards that classic tasty lemon dies...”"
lightsout31,https://www.leafly.com/hybrid/wellness-og/reviews/1339042,"“Great flower to spark up if you're looking to get a little creative and focused.”"
jetsgo,https://www.leafly.com/hybrid/wellness-og/reviews/1265772,"“Has a piney earthy smell.  It's really good gives me a clear mind relaxed and peaceful feeling.  Helps focus and stay productive”"
John18,https://www.leafly.com/hybrid/wellness-og/reviews/1299977,"“Light 5 Candles, and Ring 5 Bells...Wellness Og is worthy of a 5 Star Ding-Dong Rating.  The Leafly overview says it all....”"
FerDelToro,https://www.leafly.com/hybrid/wellness-og/reviews/1253544,"“Super Euphoria!”"
billholidaze,https://www.leafly.com/hybrid/wellness-og/reviews/1259214,"“Everything.”"
underscorejr,https://www.leafly.com/hybrid/wellness-og/reviews/1734900,"“one of my favorites

calms the limbs while adding a pleasant zonked-out mentality”"
tylesulk,https://www.leafly.com/hybrid/wellness-og/reviews/1561792,"“A friend of mine suggested Mega Wellness to me after expressing my frustration about the dwindling effects I had been finding with other weeds due to my high tolerance........


Holy Shit”"
wolaf,https://www.leafly.com/hybrid/wellness-og/reviews/1665335,"“Yes please.  This is what Og kush should be.  My eigth from NoHo's finest was one big nug.  Perfect manicure and oh so sticky.  Being from Az the stickiness was appreciated.  The smell of this is an Og lovers dream.  Pine, fuel, lemons more pine.  Like a fresh cut golf course.  On inhale you get a real nice kick of the same flavors you smell with a deep woody or nutty flavor.  The taste of this is what sets it apart....”"
TheLandOfGanja,https://www.leafly.com/hybrid/wellness-og/reviews/1632729,"“This strain is some strong stuff. Do not underestimate it. Go slow with this one and don’t overdo it. Gave me some anxiety because I did too much, I should have stopped after a couple of hits. Also experienced serious couch-lock, couldn’t feel my legs for a while, no pain and complete euphoria mixed with some slight paranoia lol trust me you will trip. Good strain but I’d go light on it.”"
jmesgirl,https://www.leafly.com/hybrid/wellness-og/reviews/1364880,"“I tried this flower for pain today and it's a 10 of 10 for the pain I was feeling. I have a terrible cold with body aches bad body aches. I smoked some of this for it and it worked so great!!!”"
BaronOfBud,https://www.leafly.com/hybrid/wellness-og/reviews/1191086,"“HTCC 2015 best hybrid in Southern California and it lives up to it's title. Insane sativa dominate og yummy taste, very uplifting strong head high lasts for hours!!!! Only spot to get it is The WEED in Studio City, can't be missed”"
Paperplane08,https://www.leafly.com/hybrid/wellness-og/reviews/1165192,"“Pick this up at the Weed in studio city all the time, bombest og I've tried, definitely a champion strain”"
