Willy's Wonder
=============
steven.wallace80,https://www.leafly.com/indica/willys-wonder/reviews/1416556,"“great strain for anxiety.  a good strong body buzz and a clean head high, Williams Wonder is like smoking Valium.  it seems to react well to any activity, not a couch lock-'er' unless that's where you are!”"
fartysmoker,https://www.leafly.com/indica/willys-wonder/reviews/1410738,"“I was sitting out back, looking at the sky and thinking about how a young Native American girl could have lived in the exact same place I live now only hundreds of millions of years ago. it would have sucked so bad to live in Phoenix with no AC and then the life only got worse for them. how sad.  it's embarrassing to be human. why are people so greedy and self centered? I need another hit, a big one.”"
hi2,https://www.leafly.com/indica/willys-wonder/reviews/1410595,"“ooooo weeee.   Powerful and fun.  Makes doing things around the house in the evening way more interesting.  You can be amazingly high on Wiily's Wonder yet you can still focus and be efficient.  I didn't smoke that much of it and yet I'm bombasted....in a good way.  You just feel super euphoric.  Love this strain.  For me it's an in the house strain because it takes highness to a whole new level.  I keep forgetting t...”"
MellowSailor,https://www.leafly.com/indica/willys-wonder/reviews/1389771,"“Willy's Wonder (aka William's Wonder) is an indica dominant hybrid that has that wonderful, dank aroma.  I'm an indica connoisseur and have tried many, so I approached Willy's Wonder with high expectations.  Sadly, I didn't find much spectacular about it.  It's really good, and the quality is excellent, but for me it was "just another indica hybrid" and nothing special (like Hindu Kush).  

It's excellent for night...”"
PamPoovey,https://www.leafly.com/indica/willys-wonder/reviews/1380123,"“I had a stomach ache and tried this. My stomach was fine instantly, but my head was spinning. I was looking up information on the strain when I was smoking it and was very focused, so focused I forgot to put it down for a few. I thought this would be a good day time smoke, but I don't feel "sleepy" but I do feel like I can't move around much. So, I'd smoke for pain and nausea but not sleep. I don't know how well I'd ...”"
brenadah,https://www.leafly.com/indica/willys-wonder/reviews/1410739,"“Best strain I've come across for my mental issues. Also works great for cramps. Looks and smells good too, but nothing too exciting. I will buy this over any strain tho, and I highly recommend it for pain help w/o the sleepiness, as well as for people who have issues with paranoia or anxiety from consumption”"
JA136,https://www.leafly.com/indica/willys-wonder/reviews/1361734,"“Either extremely horny or extremely hungry; great experience though!”"
connosieur,https://www.leafly.com/indica/willys-wonder/reviews/1410740,"“Williams wonder is a great strain that manages to hit upon all things that make people want to medicate using marijuana. It is a great hybrid that manages to help your mind and body feel releaxed and at one with eachother. The aroma reminds me of how fresh and fragrant pacific northwest trees smell. The taste is minty and forestry as the scent would imply. I would recommend this strain for anyone that wants the whole...”"
roamthedome,https://www.leafly.com/indica/willys-wonder/reviews/1380125,"“After smoking this for about two weeks now, I must say that this shit... is potent. I feel mellow as heck, and the pain in my back just dissipates. I literally sink into a large ass couch. A+ Strain. 👌✊”"
Ladithief,https://www.leafly.com/indica/willys-wonder/reviews/1360793,"“Smoking this strain in a joint that I split with the wife had flavor out of this world. The stone was utterly sedating and beautifully heady. I slept like a baby 3 hours later. Won the lottery on this one to as I found some seeds in my bag.

Ladi”"
